age_group,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,region_code
10,645507,196.0,95266.0,3363.0,645507.0,24794.0,25773.0,1630.0,1509.0,24794.0,7931.0,8249.0,106.0,119.0,7931.0,16925.0,17602.0,677.0,866.0,16925.0,26200.0,0
15,11886480,2968.0,2030937.0,40808.0,11886480.0,362339.0,381296.0,28908.0,15944.0,362339.0,109423.0,115724.0,1670.0,1555.0,109423.0,230543.0,243100.0,11006.0,7961.0,230543.0,382161.0,0
20,17145498,4593.0,2886511.0,55602.0,17145498.0,539225.0,571700.0,43250.0,19423.0,539225.0,144951.0,154411.0,2410.0,2216.0,144951.0,320000.0,340036.0,15357.0,7939.0,320000.0,568214.0,0
25,13466901,4461.0,2258259.0,54276.0,13466901.0,487970.0,520595.0,38882.0,18595.0,487970.0,118400.0,126352.0,2304.0,2003.0,118400.0,273454.0,291448.0,13806.0,6792.0,273454.0,514842.0,0
30,8747442,3894.0,1415606.0,47351.0,8747442.0,379511.0,407199.0,29587.0,16000.0,379511.0,83730.0,89555.0,1708.0,1695.0,83730.0,200390.0,214225.0,9890.0,5639.0,200390.0,400195.0,0
35,4791002,3007.0,712327.0,35092.0,4791002.0,254325.0,274355.0,18690.0,11802.0,254325.0,53294.0,56946.0,1000.0,1302.0,53294.0,130635.0,139575.0,5984.0,4239.0,130635.0,267887.0,0
40,1550822,1263.0,200914.0,13371.0,1550822.0,95414.0,102822.0,6242.0,4381.0,95414.0,20865.0,22113.0,295.0,465.0,20865.0,51916.0,55099.0,1922.0,1511.0,51916.0,100548.0,0
45,143265,184.0,13604.0,1136.0,143265.0,10469.0,11018.0,478.0,318.0,10469.0,3560.0,3666.0,27.0,59.0,3560.0,7447.0,7707.0,147.0,136.0,7447.0,11102.0,0
10,115034,37.0,14117.0,263.0,115034.0,5334.0,5384.0,309.0,142.0,5334.0,1868.0,1878.0,25.0,10.0,1868.0,4127.0,4153.0,136.0,87.0,4127.0,5667.0,1
15,1687370,502.0,219826.0,2536.0,1687370.0,61442.0,61982.0,3599.0,1169.0,61442.0,20470.0,20593.0,255.0,124.0,20470.0,45410.0,45661.0,1484.0,688.0,45410.0,65087.0,1
20,2134984,645.0,266108.0,2885.0,2134984.0,78352.0,79000.0,3927.0,1194.0,78352.0,22932.0,23130.0,259.0,123.0,22932.0,55848.0,56214.0,1554.0,514.0,55848.0,82671.0,1
25,1474116,544.0,179974.0,2769.0,1474116.0,62375.0,62997.0,3030.0,1098.0,62375.0,16652.0,16846.0,148.0,114.0,16652.0,42598.0,42954.0,1125.0,377.0,42598.0,65896.0,1
30,841242,403.0,97661.0,2227.0,841242.0,42391.0,42860.0,1871.0,890.0,42391.0,10415.0,10562.0,90.0,87.0,10415.0,27501.0,27772.0,682.0,274.0,27501.0,44899.0,1
35,412262,347.0,42481.0,1607.0,412262.0,25568.0,25832.0,954.0,655.0,25568.0,5879.0,5947.0,49.0,69.0,5879.0,16142.0,16285.0,322.0,200.0,16142.0,27051.0,1
