measure,region_code,indicator,criterion,n,years,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,difference_n,difference_status,difference_pearson_r,difference_pearson_p,difference_pearson_ci_low,difference_pearson_ci_high,pearson_q_bh,difference_pearson_q_bh
crude,1,pnad_education,W,10,"2004,2005,2006,2008,2009,2011,2012,2013,2014,2015",ok,-0.3297023452274871,0.3521947255072519,-0.7944163393567487,0.3784955743203351,-0.2606060606060606,0.46708905438634024,7,ok,-0.700098692826643,0.07985568024874704,-0.9515076816987726,0.11201585565194798,0.4876542353177334,0.513357944456231
crude,1,pnad_education,M,10,"2004,2005,2006,2008,2009,2011,2012,2013,2014,2015",ok,0.7181045910617052,0.01933481299362824,0.16149726736662354,0.9281014071639213,0.35757575757575755,0.31037609170568026,7,ok,0.0739150529659416,0.8748604093468532,-0.7191739544068163,0.7833690175348452,0.07909696224666098,1.0
crude,1,pnad_education,OMS,10,"2004,2005,2006,2008,2009,2011,2012,2013,2014,2015",ok,0.7533121612450855,0.011881419135771112,0.23528071589486838,0.9380272886225354,0.7575757575757575,0.011143446799694208,7,ok,-0.25832105223207114,0.5759447350816768,-0.84667485572835,0.6142221633463469,0.05346638611097,1.0
crude,2,pnad_education,W,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.9299097089034771,4.163115996241374e-06,-0.9791905142148322,-0.7770681678982516,-0.9065934065934067,1.9296152005272247e-05,11,ok,-0.6243356643066477,0.04004620196502092,-0.890643774395775,-0.03910721736141326,0.00010554692565551785,0.4344002480576416
crude,2,pnad_education,M,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.10083101105368458,0.7430960036400538,-0.47663438389409274,0.6175096943728343,0.03846153846153846,0.9007243023389339,11,ok,-0.05511155915125711,0.8721423830632371,-0.634025654615078,0.5633891255773543,0.8340299804919888,1.0
crude,2,pnad_education,OMS,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.435863543324557,0.13653270217611826,-0.7957467558373376,0.15150677931877204,-0.26373626373626374,0.38393651665067413,11,ok,-0.64207169835613,0.033172935053827485,-0.8966070558214821,-0.06863065966368023,0.2559988165802217,0.4344002480576416
crude,3,pnad_education,W,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.3683900575262752,0.21551052533148465,-0.2290967270617865,0.7642498335417965,0.3131868131868132,0.2974384220710294,11,ok,-0.534208782430254,0.09049246873873816,-0.8588560681675412,0.09663314340823637,0.3471856187047503,0.5337137946811311
crude,3,pnad_education,M,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.4170478550112296,0.1562593132928688,-0.17389668634448946,0.7871549865356602,0.2802197802197803,0.35376363563367896,11,ok,0.33143313118894446,0.31941416916259713,-0.3350574957305971,0.7768550288941143,0.2812667639271638,1.0
crude,3,pnad_education,OMS,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.19549851875852475,0.5221211846841558,-0.39840130065026824,0.6738940980098604,-0.016483516483516484,0.9573761750901848,11,ok,0.09338471324004109,0.7847784613061802,-0.5365472230050221,0.6564840446418427,0.6323324815402883,1.0
crude,4,pnad_education,W,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.09468018761093526,0.7583344732505405,-0.6136528224532793,0.48141951486679024,0.15934065934065936,0.6030877531318971,11,ok,-0.8185938000137093,0.002063292533219009,-0.9513195666187872,-0.4297484845178242,0.8340299804919888,0.0928481639948554
crude,4,pnad_education,M,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.9324079113024677,3.4264899812764247e-06,0.7844054730667802,0.9799504670240867,0.9120879120879121,1.3975552674444556e-05,11,ok,-0.3570841701298092,0.2810125129943894,-0.7881358559155658,0.3089751305439467,0.00010554692565551785,1.0
crude,4,pnad_education,OMS,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.011055369746996904,0.9714061131749229,-0.558637815431742,0.5432389890669175,0.08241758241758242,0.788950927847518,11,ok,-0.5882754943309442,0.056950684197083566,-0.8782302724661561,0.017925161086980387,0.9714061131749229,0.4344002480576416
crude,5,pnad_education,W,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.5166615978131678,0.07063507523794975,-0.04798323237029164,0.831065138207207,0.5934065934065934,0.03252444027009706,11,ok,-0.24817829472989728,0.46183315843554434,-0.7381591567585134,0.4132144099747788,0.15752149088149772,1.0
crude,5,pnad_education,M,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.8619878589453757,0.00015112598634464447,0.5923211082846018,0.9579851594798102,0.8461538461538461,0.00026601205575225306,11,ok,-0.13501321771310007,0.6922550943175557,-0.6798282255476708,0.5058294577193202,0.0013601338771018002,1.0
crude,5,pnad_education,OMS,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.5371549951702246,0.05836164994150929,-0.019644331874159197,0.8396374214865869,0.5824175824175823,0.0367413343586543,11,ok,-0.25485533484460443,0.44946606559412566,-0.7413862235900597,0.40728613129925245,0.1479097234754318,1.0
crude,1,pnad_income_nominal,W,10,"2004,2005,2006,2008,2009,2011,2012,2013,2014,2015",ok,0.2506997264250092,0.48478151117693846,-0.44994987552385957,0.7603128214812217,0.2606060606060606,0.46708905438634024,7,ok,0.15181819226408658,0.7452253661578965,-0.6788516102575545,0.8120377177242771,0.6145117747313305,1.0
crude,1,pnad_income_nominal,M,10,"2004,2005,2006,2008,2009,2011,2012,2013,2014,2015",ok,-0.6537689914589572,0.04033071620806874,-0.9091583164142785,-0.04103318878102222,-0.35757575757575755,0.31037609170568026,7,ok,0.11985162458932556,0.7979917465247272,-0.6960265242505658,0.8006471362639773,0.1170891760879415,1.0
crude,1,pnad_income_nominal,OMS,10,"2004,2005,2006,2008,2009,2011,2012,2013,2014,2015",ok,-0.8091037227156505,0.004581959513421476,-0.953159258324298,-0.36585709253588167,-0.7575757575757575,0.011143446799694208,7,ok,-0.2246951154094619,0.6281017661982091,-0.8362522531346535,0.6359754288173562,0.02749175708052886,1.0
crude,2,pnad_income_nominal,W,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.9320524755272954,3.5243208287931367e-06,0.7833590125046286,0.9798424278536328,0.9065934065934067,1.9296152005272247e-05,11,ok,0.04676589250381039,0.8913965671725215,-0.5690737395938763,0.6289952675943897,0.00010554692565551785,1.0
crude,2,pnad_income_nominal,M,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.0496568991295549,0.8720164963275508,-0.5154307010948255,0.5846461528900396,-0.03846153846153846,0.9007243023389339,11,ok,0.15521764145269432,0.6485964761375953,-0.4903107907765998,0.6907738806084492,0.9020860306836733,1.0
crude,2,pnad_income_nominal,OMS,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,0.4270343938978078,0.1455725626886671,-0.16208870733188713,0.7917330777751952,0.26373626373626374,0.38393651665067413,11,ok,0.22407596024844223,0.5077340396914698,-0.4341574414960258,0.7263207092765906,0.2673781763669396,1.0
crude,3,pnad_income_nominal,W,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.5042706299076831,0.07887562575170053,-0.8258085679256649,0.06468793785201803,-0.3131868131868132,0.2974384220710294,11,ok,-0.03406214089794955,0.9208034538957696,-0.6212432737578285,0.5776153018879532,0.16901919803935828,1.0
crude,3,pnad_income_nominal,M,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.3815618349263362,0.19828026095241416,-0.7705504844780093,0.21452388893911492,-0.2802197802197803,0.35376363563367896,11,ok,0.11931524305380355,0.7267738888910285,-0.5176071018749824,0.6711529957185716,0.33670232991919385,1.0
crude,3,pnad_income_nominal,OMS,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.1983912825279866,0.5158582302121469,-0.6755335521320691,0.39586645071735893,0.016483516483516484,0.9573761750901848,11,ok,0.21304689869420682,0.5293685183909768,-0.44350926983568767,0.7208022902761577,0.6323324815402883,1.0
crude,4,pnad_income_nominal,W,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.03790387389980113,0.9021574838890817,-0.5768421295180683,0.5240254252975346,-0.15934065934065936,0.6030877531318971,11,ok,0.004873040258889363,0.9886548559153838,-0.5967463913898235,0.602985397835546,0.9226610630683789,1.0
crude,4,pnad_income_nominal,M,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.9253803016974013,5.822934367980581e-06,-0.9778091356712597,-0.7638702416490233,-0.9120879120879121,1.3975552674444556e-05,11,ok,0.15039188383867994,0.6589400907353656,-0.4940549563983866,0.688181670436674,0.00010554692565551785,1.0
crude,4,pnad_income_nominal,OMS,13,"2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015",ok,-0.08629260202044499,0.7792437086109906,-0.6083531713176148,0.48788989101283176,-0.08241758241758242,0.788950927847518,11,ok,0.07171277825586135,0.8340355230515182,-0.551904449386866,0.643888541385458,0.8449630575299897,1.0
