territory,region_code,region,year,n_months,months,admissions,deaths,pn_admissions,icu_admissions,icu_known,W,W_any,W_pn,W_icu,W_icu_known,M,M_any,M_pn,M_icu,M_icu_known,OMS,OMS_any,OMS_pn,OMS_icu,OMS_icu_known,union_cases,W_per_1000,W_pn_per_1000,W_any_per_1000,W_survivor_per_1000,W_standardized,M_per_1000,M_pn_per_1000,M_any_per_1000,M_survivor_per_1000,M_standardized,OMS_per_1000,OMS_pn_per_1000,OMS_any_per_1000,OMS_survivor_per_1000,OMS_standardized,pn_percent,value,indicator
1,1.0,Norte,2004,12,"1,2,3,4,5,6,7,8,9,10,11,12",280421.0,65.0,19746.0,175.0,280421.0,10907.0,10979.0,292.0,62.0,10907.0,4424.0,4484.0,148.0,8.0,4424.0,9399.0,9481.0,223.0,48.0,9399.0,11764.0,38.895089882712064,14.787805125088626,39.15184668765891,38.90410763457889,41.05092382859505,15.776279237289646,7.495188899017522,15.99024324141202,15.779936937322548,16.138799367615537,33.51746124576975,11.293426516762889,33.80987871807033,33.52523220476822,35.06714333609372,7.041555375667301,52.775306884895926,pnad_education
1,1.0,Norte,2005,12,"1,2,3,4,5,6,7,8,9,10,11,12",288818.0,110.0,21847.0,210.0,288818.0,12042.0,12107.0,287.0,59.0,12042.0,5299.0,5346.0,49.0,23.0,5299.0,11190.0,11251.0,114.0,59.0,11190.0,13548.0,41.69407723895325,13.136815123357898,41.9191324640431,41.7099630076063,44.310323081513715,18.34719442694015,2.242870874719641,18.5099266666205,18.35418485112986,18.761003135181905,38.74412259623708,5.218107749347737,38.955328269013705,38.758884409160814,40.82189433753289,7.564279234673739,50.49960900165088,pnad_education
1,1.0,Norte,2006,12,"1,2,3,4,5,6,7,8,9,10,11,12",295257.0,100.0,27620.0,263.0,295257.0,12667.0,12760.0,240.0,90.0,12667.0,4188.0,4255.0,36.0,20.0,4188.0,10561.0,10641.0,85.0,61.0,10561.0,13246.0,42.90160775189072,8.689355539464156,43.216587583020896,42.916142934099476,45.30055511823476,14.184253040571434,1.3034033309196236,14.41117399418134,14.189058704350566,14.53961704730361,35.7688386727495,3.0774800868935555,36.03978906511954,35.780957253258435,37.732833102532865,9.354562296575526,48.5504803640654,pnad_education
1,1.0,Norte,2008,12,"1,2,3,4,5,6,7,8,9,10,11,12",276127.0,70.0,55851.0,297.0,276127.0,12323.0,12446.0,1186.0,190.0,12323.0,2441.0,2465.0,28.0,4.0,2441.0,10144.0,10194.0,619.0,50.0,10144.0,12785.0,44.62801536973929,21.235071887701206,45.073462573381086,44.63933173221472,47.03388988608412,8.840135155200324,0.5013339062863691,8.927051682740188,8.842376755525127,8.875841395147955,36.736718973515806,11.083060285402231,36.91779507255719,36.7460343334891,38.70682660954964,20.22656241512058,45.9763691521635,pnad_education
1,1.0,Norte,2009,12,"1,2,3,4,5,6,7,8,9,10,11,12",280394.0,87.0,58810.0,240.0,280394.0,11722.0,11787.0,1312.0,124.0,11722.0,2641.0,2653.0,21.0,4.0,2641.0,9433.0,9461.0,669.0,46.0,9433.0,12311.0,41.805459460616134,22.309131100153035,42.03727611860454,41.8184347875722,43.72527545847548,9.41888913457492,0.35708212888964463,9.461686056049702,9.421812512709279,9.542218591077363,33.641946689301484,11.375616391770107,33.74180617274264,33.65238827428498,35.21113635715654,20.974057932766037,45.744096650192205,pnad_education
1,1.0,Norte,2011,12,"1,2,3,4,5,6,7,8,9,10,11,12",276785.0,70.0,59413.0,256.0,276785.0,12644.0,12759.0,1010.0,130.0,12644.0,2510.0,2522.0,11.0,4.0,2510.0,9961.0,10007.0,442.0,50.0,9961.0,13057.0,45.68166627526781,16.99964654200259,46.097151218454755,45.69322226839889,47.56917991007931,9.06841049912387,0.1851446653089391,9.11176544971729,9.070704515476212,9.202673267724352,35.988221905088785,7.439449278777372,36.154415882363566,35.99732576838986,37.44808107801885,21.465397330057627,43.856106499139926,pnad_education
1,1.0,Norte,2012,12,"1,2,3,4,5,6,7,8,9,10,11,12",269399.0,79.0,70271.0,288.0,269399.0,11997.0,12143.0,1100.0,162.0,11997.0,2630.0,2645.0,13.0,8.0,2630.0,8528.0,8577.0,327.0,46.0,8528.0,12399.0,44.53245928900998,15.653683596362653,45.074406363794964,44.5455220555473,46.27875219038725,9.76247127866102,0.1849980788661041,9.818150772645778,9.765334917570177,9.748255523325335,31.655648313468127,4.65341321455508,31.837534660485005,31.66493390761919,32.827097821196865,26.084358145353175,41.67889638978573,pnad_education
1,1.0,Norte,2013,12,"1,2,3,4,5,6,7,8,9,10,11,12",285041.0,86.0,57151.0,290.0,285041.0,12498.0,12704.0,906.0,151.0,12498.0,3039.0,3076.0,8.0,15.0,3039.0,9007.0,9079.0,240.0,63.0,9007.0,12962.0,43.84632386218123,15.852740984409722,44.56902691191794,43.85955677212191,45.164273918205325,10.661624117232257,0.13998005284246995,10.791430004806326,10.66484181712902,10.765005096684272,31.5989629562063,4.1994015852740985,31.851558196890974,31.60849958765419,32.56020972535845,20.050098056069128,41.05157449250412,pnad_education
1,1.0,Norte,2014,12,"1,2,3,4,5,6,7,8,9,10,11,12",282881.0,69.0,47708.0,253.0,282881.0,12281.0,12586.0,571.0,89.0,12281.0,3019.0,3095.0,5.0,14.0,3019.0,8386.0,8517.0,142.0,58.0,8386.0,12787.0,43.414015080546235,11.968642575668651,44.49220697042219,43.42460715952647,44.96198609230524,10.672332182083633,0.10480422570638048,10.940996390708461,10.67493599988685,10.823317266007855,29.644974388523796,2.976440010061206,30.10806664286396,29.65220711992419,30.61973690756034,16.86504219088592,39.37557262668264,pnad_education
1,1.0,Norte,2015,12,"1,2,3,4,5,6,7,8,9,10,11,12",288723.0,105.0,37549.0,291.0,288723.0,11458.0,11607.0,481.0,110.0,11458.0,2987.0,3017.0,16.0,16.0,2987.0,7764.0,7823.0,137.0,76.0,7764.0,11990.0,39.68509609556565,12.809928360275906,40.20116166706497,39.69953363962053,40.84237345311777,10.34555612126502,0.4261098830861008,10.449461941029984,10.349319862240055,10.41951855869151,26.890826155172952,3.6485658739247384,27.09517426737738,26.900609109618944,27.606929878950055,13.005198754515574,38.3779321730756,pnad_education
