uf,year,month,status,name,directory,bytes,modified,observed_utc,processing_status,processed
AC,2002,1,available,RDAC0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,161849.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,2,available,RDAC0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,154423.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,3,available,RDAC0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,155757.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,4,available,RDAC0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,142915.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,5,available,RDAC0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,163290.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,6,available,RDAC0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,163261.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,7,available,RDAC0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,198932.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,8,available,RDAC0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,181194.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,9,available,RDAC0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,167565.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,10,available,RDAC0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,193299.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,11,available,RDAC0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,173370.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AC,2002,12,available,RDAC0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,168688.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,1,available,RDAL0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,856898.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,2,available,RDAL0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,839556.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,3,available,RDAL0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,910074.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,4,available,RDAL0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,873713.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,5,available,RDAL0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,863799.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,6,available,RDAL0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,899158.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,7,available,RDAL0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,881744.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,8,available,RDAL0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,892260.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,9,available,RDAL0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,886418.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,10,available,RDAL0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,891590.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,11,available,RDAL0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,911289.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AL,2002,12,available,RDAL0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,919545.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,1,available,RDAM0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,483135.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,2,available,RDAM0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,473128.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,3,available,RDAM0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,464274.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,4,available,RDAM0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,508033.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,5,available,RDAM0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,511576.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,6,available,RDAM0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,516866.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,7,available,RDAM0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,471285.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,8,available,RDAM0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,490852.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,9,available,RDAM0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,534228.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,10,available,RDAM0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,536489.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,11,available,RDAM0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,552406.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AM,2002,12,available,RDAM0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,521155.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,1,available,RDAP0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,107502.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,2,available,RDAP0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,110328.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,3,available,RDAP0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,134846.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,4,available,RDAP0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,120252.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,5,available,RDAP0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,120820.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,6,available,RDAP0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,123118.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,7,available,RDAP0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,125603.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,8,available,RDAP0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,129282.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,9,available,RDAP0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,127122.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,10,available,RDAP0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,112491.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,11,available,RDAP0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,111640.0,,2026-09-16T09:42:18.531232+00:00,ok,True
AP,2002,12,available,RDAP0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,107752.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,1,available,RDBA0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4050393.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,2,available,RDBA0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,3956402.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,3,available,RDBA0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4153235.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,4,available,RDBA0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4017217.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,5,available,RDBA0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4327366.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,6,available,RDBA0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4133953.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,7,available,RDBA0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4253729.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,8,available,RDBA0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4282357.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,9,available,RDBA0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,3917449.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,10,available,RDBA0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4130821.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,11,available,RDBA0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4036830.0,,2026-09-16T09:42:18.531232+00:00,ok,True
BA,2002,12,available,RDBA0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,4006709.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,1,available,RDCE0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2014509.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,2,available,RDCE0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2059979.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,3,available,RDCE0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2077663.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,4,available,RDCE0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2157950.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,5,available,RDCE0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2170219.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,6,available,RDCE0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2183873.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,7,available,RDCE0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2117259.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,8,available,RDCE0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2202281.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,9,available,RDCE0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2181395.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,10,available,RDCE0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2121354.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,11,available,RDCE0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2082393.0,,2026-09-16T09:42:18.531232+00:00,ok,True
CE,2002,12,available,RDCE0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,2053440.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,1,available,RDDF0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,707821.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,2,available,RDDF0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,659516.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,3,available,RDDF0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,752425.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,4,available,RDDF0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,763616.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,5,available,RDDF0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,516568.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,6,available,RDDF0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,416762.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,7,available,RDDF0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,731616.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,8,available,RDDF0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,755837.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,9,available,RDDF0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,775553.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,10,available,RDDF0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,792401.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,11,available,RDDF0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,741392.0,,2026-09-16T09:42:18.531232+00:00,ok,True
DF,2002,12,available,RDDF0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,535729.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,1,available,RDES0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,918801.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,2,available,RDES0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,839764.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,3,available,RDES0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,971230.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,4,available,RDES0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,934635.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,5,available,RDES0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,875722.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,6,available,RDES0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,939072.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,7,available,RDES0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,927924.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,8,available,RDES0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,916389.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,9,available,RDES0209.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1002454.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,10,available,RDES0210.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,968731.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,11,available,RDES0211.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,966111.0,,2026-09-16T09:42:18.531232+00:00,ok,True
ES,2002,12,available,RDES0212.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,984925.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,1,available,RDGO0201.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1629730.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,2,available,RDGO0202.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1685258.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,3,available,RDGO0203.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1759167.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,4,available,RDGO0204.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1766759.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,5,available,RDGO0205.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1762459.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,6,available,RDGO0206.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1773554.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,7,available,RDGO0207.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1736042.0,,2026-09-16T09:42:18.531232+00:00,ok,True
GO,2002,8,available,RDGO0208.dbc,/dissemin/publicos/SIHSUS/199201_200712/Dados,1716436.0,,2026-09-16T09:42:18.531232+00:00,ok,True
