icd10,description,waterstone_groups,waterstone_source,mantel_groups,mantel_source,who_groups,who_source,note
A02.1,Salmonella septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A22.7,Anthrax septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A26.7,Erysipelothrix septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A32.7,Listerial septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A40,Streptococcal septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008", Exact three-character code; subcategories are not automatically included.
A40.0,"Septicaemia due to streptococcus, group A",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A40.1,"Septicaemia due to streptococcus, group B",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A40.2,"Septicaemia due to streptococcus, group D",W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A40.3,Septicaemia due to Streptococcus pneumoniae,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
A40.8,Other streptococcal septicaemia,W4,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",M2,"Herdt et al. 2021, Chart 1, pp. 99–100; doi:10.1055/s-0040-1719144",O1,"Nakamura-Pereira et al. 2013, Table 3, pp. 1338–1339; doi:10.1590/S0102-311X2013000700008",
