region_code,left,right,intersection,union,jaccard
0,W,M,455700,2240501,0.20339200919794279
0,W,OMS,1114238,2271119,0.4906118966025118
0,M,OMS,542124,1231340,0.4402715740575308
1,W,M,69471,297606,0.23343279369367553
1,W,OMS,182594,302602,0.6034130640246925
1,M,OMS,80882,199005,0.4064319991960001
2,W,M,146882,793629,0.18507640219800436
2,W,OMS,355290,804783,0.4414730430439013
2,M,OMS,174603,394179,0.44295358200208534
3,W,M,149510,744366,0.20085549313106724
3,W,OMS,366660,752422,0.48730632543971336
3,M,OMS,180672,405920,0.4450926290894758
4,W,M,48887,245555,0.1990877807415854
4,W,OMS,122499,249736,0.49051398276580066
4,M,OMS,59805,137598,0.4346356778441547
5,W,M,40950,159345,0.25698955097430104
5,W,OMS,87195,161576,0.5396531663118285
5,M,OMS,46162,94638,0.48777446691603793
