municipality,name,income_pc,illiteracy_10plus,sewer_septic,admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000
240010,Acari - RN,407.77,16.200000000000003,82.23504403279684,825,5,144,149,6.0606060606060606,174.54545454545453,180.6060606060606
240020,Assú - RN,426.22,20.700000000000003,13.626566078404958,4361,42,16,86,9.630818619582664,3.6688832836505387,19.720247649621648
240030,Afonso Bezerra - RN,252.49,29.0,51.821586653047326,682,11,2,17,16.129032258064516,2.932551319648094,24.926686217008797
240040,Água Nova - RN,205.56,20.40000000000001,7.070707070707071,245,5,1,6,20.408163265306122,4.081632653061225,24.489795918367346
240050,Alexandria - RN,294.2,31.0,57.2484076433121,940,12,3,17,12.76595744680851,3.1914893617021276,18.085106382978722
240060,Almino Afonso - RN,286.88,23.40000000000001,12.604456824512535,402,1,0,2,2.487562189054726,0.0,4.975124378109452
240070,Alto do Rodrigues - RN,441.5,18.200000000000003,8.200391827595858,711,20,0,24,28.129395218002813,0.0,33.755274261603375
240080,Angicos - RN,334.86,24.5,38.284132841328415,910,14,6,34,15.384615384615385,6.593406593406593,37.362637362637365
240090,Antônio Martins - RN,247.46,28.8,24.8203162434116,411,3,0,8,7.299270072992701,0.0,19.464720194647203
240100,Apodi - RN,356.88,22.099999999999994,10.291029102910292,2570,31,2,70,12.062256809338521,0.7782101167315175,27.237354085603112
240110,Areia Branca - RN,445.19,15.400000000000006,29.05321354526607,1765,21,2,29,11.898016997167138,1.13314447592068,16.430594900849858
240120,Arez - RN,299.22,23.700000000000003,20.156839965146677,805,42,6,52,52.17391304347826,7.453416149068323,64.59627329192547
240130,Campo Grande - RN,376.89,27.0,17.498081350729088,570,4,4,17,7.017543859649122,7.017543859649122,29.82456140350877
240140,Baía Formosa - RN,309.79,20.8,10.363887609396592,592,22,28,52,37.16216216216216,47.2972972972973,87.83783783783784
240145,Baraúna - RN,255.44,25.599999999999994,9.675025968244547,2195,23,7,34,10.478359908883826,3.1890660592255125,15.489749430523919
240150,Barcelona - RN,266.48,27.40000000000001,25.32981530343008,198,5,0,6,25.252525252525253,0.0,30.303030303030305
240160,Bento Fernandes - RN,232.18,26.099999999999994,13.77983063895304,313,15,1,17,47.92332268370607,3.194888178913738,54.31309904153355
240165,Bodó - RN,274.38,23.3,40.57553956834533,208,7,1,8,33.65384615384615,4.8076923076923075,38.46153846153846
240170,Bom Jesus - RN,295.86,29.599999999999994,10.502625656414104,659,29,0,29,44.00606980273141,0.0,44.00606980273141
240180,Brejinho - RN,297.73,29.0,31.556503198294244,893,34,3,38,38.07390817469205,3.3594624860022395,42.5531914893617
240185,Caiçara do Norte - RN,273.99,23.700000000000003,40.41095890410959,402,16,1,17,39.80099502487562,2.487562189054726,42.288557213930346
240190,Caiçara do Rio do Vento - RN,240.51,23.90000000000001,58.52017937219731,250,12,1,14,48.0,4.0,56.0
240200,Caicó - RN,622.27,14.200000000000005,76.83961757439037,4161,39,7,52,9.372746935832733,1.6822879115597211,12.496995914443643
240210,Campo Redondo - RN,247.37,23.40000000000001,45.58414464534075,632,12,1,16,18.9873417721519,1.5822784810126582,25.31645569620253
240220,Canguaretama - RN,250.2,23.90000000000001,5.283706402915148,2817,89,20,124,31.59389421370252,7.099751508697196,44.018459353922616
240230,Caraúbas - RN,320.97,24.8,12.785543811796796,1473,9,1,37,6.109979633401222,0.6788866259334692,25.118805159538358
240240,Carnaúba dos Dantas - RN,386.98,13.200000000000005,16.75579322638146,393,9,14,23,22.900763358778626,35.6234096692112,58.524173027989825
240250,Carnaubais - RN,293.26,23.90000000000001,45.283700758944704,665,6,2,9,9.022556390977444,3.007518796992481,13.533834586466165
240260,Ceará-Mirim - RN,313.91,20.5,55.11018566718723,5478,270,43,343,49.28806133625411,7.849580138736766,62.61409273457466
240270,Cerro Corá - RN,281.57,24.90000000000001,4.746317512274959,849,27,2,33,31.802120141342755,2.3557126030624262,38.869257950530034
