territory,diagnosis,outcome,cases,care,percent_of_outcome
AL,O149,W,2712,any_uf,30.519918973666442
AL,O141,W,1990,any_uf,22.39477830294846
AL,O031,W,703,any_uf,7.911321179383299
AL,O85,W,644,any_uf,7.247355390501913
AL,O140,W,418,any_uf,4.704028809363043
AL,O459,W,389,any_uf,4.377672743641684
AL,O860,W,349,any_uf,3.927526446094981
AL,O150,W,269,any_uf,3.0272338510015757
AL,O441,W,261,any_uf,2.937204591492235
AL,O061,W,195,any_uf,2.1944632005401754
AL,O450,W,172,any_uf,1.9356290794508215
AL,O722,W,105,any_uf,1.1816340310600946
AL,O11,W,69,any_uf,0.7765023632680621
AL,O030,W,68,any_uf,0.7652487058293945
AL,O868,W,51,any_uf,0.5739365293720459
AL,O411,W,46,any_uf,0.5176682421787081
AL,O152,W,45,any_uf,0.5064145847400405
AL,O151,W,41,any_uf,0.46139995498537023
AL,O900,W,41,any_uf,0.46139995498537023
AL,O721,W,40,any_uf,0.45014629754670266
AL,O468,W,38,any_uf,0.42763898266936756
AL,O458,W,31,any_uf,0.3488633805986946
AL,O035,W,30,any_uf,0.337609723160027
AL,O159,W,30,any_uf,0.337609723160027
AL,O051,W,19,any_uf,0.21381949133468378
AL,O040,W,17,any_uf,0.19131217645734863
AL,O060,W,14,any_uf,0.15755120414134594
AL,O050,W,12,any_uf,0.1350438892640108
AL,O041,W,11,any_uf,0.12379023182534324
AL,O720,W,11,any_uf,0.12379023182534324
AL,O036,W,10,any_uf,0.11253657438667566
AL,O711,W,10,any_uf,0.11253657438667566
AL,O469,W,9,any_uf,0.1012829169480081
AL,O080,W,7,any_uf,0.07877560207067297
AL,O081,W,6,any_uf,0.0675219446320054
AL,O670,W,5,any_uf,0.05626828719333783
AL,O710,W,5,any_uf,0.05626828719333783
AL,O083,W,4,any_uf,0.04501462975467027
AL,O065,W,2,any_uf,0.022507314877335136
AL,O460,W,2,any_uf,0.022507314877335136
AL,O694,W,2,any_uf,0.022507314877335136
AL,O055,W,1,any_uf,0.011253657438667568
AL,O066,W,1,any_uf,0.011253657438667568
AL,O753,W,1,any_uf,0.011253657438667568
AL,O031,hemorrhage,703,any_uf,34.975124378109456
AL,O459,hemorrhage,389,any_uf,19.35323383084577
AL,O441,hemorrhage,261,any_uf,12.985074626865671
AL,O061,hemorrhage,195,any_uf,9.701492537313433
AL,O450,hemorrhage,172,any_uf,8.557213930348258
AL,O722,hemorrhage,105,any_uf,5.223880597014926
AL,O721,hemorrhage,40,any_uf,1.9900497512437811
AL,O468,hemorrhage,38,any_uf,1.890547263681592
AL,O458,hemorrhage,31,any_uf,1.5422885572139304
AL,O051,hemorrhage,19,any_uf,0.945273631840796
AL,O041,hemorrhage,11,any_uf,0.5472636815920398
AL,O720,hemorrhage,11,any_uf,0.5472636815920398
AL,O036,hemorrhage,10,any_uf,0.4975124378109453
AL,O469,hemorrhage,9,any_uf,0.44776119402985076
AL,O081,hemorrhage,6,any_uf,0.29850746268656714
AL,O670,hemorrhage,5,any_uf,0.24875621890547264
AL,O460,hemorrhage,2,any_uf,0.09950248756218906
AL,O694,hemorrhage,2,any_uf,0.09950248756218906
AL,O066,hemorrhage,1,any_uf,0.04975124378109453
AL,O149,hypertension,2712,any_uf,48.65446716899892
AL,O141,hypertension,1990,any_uf,35.70147111589523
AL,O140,hypertension,418,any_uf,7.499102978112666
AL,O150,hypertension,269,any_uf,4.825977753857194
AL,O11,hypertension,69,any_uf,1.2378902045209903
AL,O152,hypertension,45,any_uf,0.8073196986006459
AL,O151,hypertension,41,any_uf,0.7355579476139218
AL,O159,hypertension,30,any_uf,0.5382131324004306
BA,O141,W,6517,any_uf,20.209005209625403
BA,O140,W,3525,any_uf,10.930910444058545
BA,O149,W,2881,any_uf,8.933887372860333
BA,O031,W,2720,any_uf,8.43463160506078
BA,O459,W,2603,any_uf,8.071818407343091
BA,O030,W,2441,any_uf,7.569461672041677
BA,O85,W,2264,any_uf,7.0205904242123545
BA,O860,W,1591,any_uf,4.933639295460184
BA,O055,W,1191,any_uf,3.6932522947159514
BA,O150,W,912,any_uf,2.8280823616968496
BA,O060,W,550,any_uf,1.7055321260233194
BA,O151,W,539,any_uf,1.671421483502853
BA,O159,W,492,any_uf,1.5256760109154055
BA,O868,W,426,any_uf,1.3210121557926073
BA,O441,W,413,any_uf,1.2806995782684198
BA,O458,W,389,any_uf,1.2062763582237659
BA,O061,W,315,any_uf,0.9768047630860829
BA,O450,W,293,any_uf,0.90858347804515
BA,O721,W,247,any_uf,0.7659389729595634
BA,O035,W,244,any_uf,0.7566360704539816
BA,O411,W,185,any_uf,0.5736789878442073
BA,O036,W,178,any_uf,0.5519722153311833
BA,O722,W,163,any_uf,0.5054577028032746
BA,O051,W,157,any_uf,0.48685189779211113
BA,O900,W,131,any_uf,0.40622674274373605
BA,O720,W,118,any_uf,0.3659141652195485
BA,O040,W,108,any_uf,0.3349044902009427
BA,O041,W,83,any_uf,0.2573803026544282
BA,O152,W,80,any_uf,0.24807740014884644
BA,O050,W,76,any_uf,0.23567353014140413
BA,O11,W,63,any_uf,0.19536095261721656
BA,O711,W,54,any_uf,0.16745224510047135
BA,O066,W,50,any_uf,0.15504837509302902
BA,O710,W,38,any_uf,0.11783676507070207
BA,O081,W,34,any_uf,0.10543289506325974
BA,O080,W,28,any_uf,0.08682709005209625
BA,O469,W,20,any_uf,0.06201935003721161
BA,O045,W,19,any_uf,0.05891838253535103
BA,O065,W,19,any_uf,0.05891838253535103
BA,O056,W,18,any_uf,0.05581741503349045
BA,O694,W,18,any_uf,0.05581741503349045
BA,O468,W,16,any_uf,0.04961548002976929
BA,O046,W,13,any_uf,0.04031257752418755
BA,O670,W,13,any_uf,0.04031257752418755
BA,O083,W,6,any_uf,0.018605805011163483
BA,O460,W,5,any_uf,0.015504837509302902
BA,O075,W,1,any_uf,0.0031009675018605805
BA,O883,W,1,any_uf,0.0031009675018605805
BA,O031,hemorrhage,2720,any_uf,34.579201627256545
BA,O459,hemorrhage,2603,any_uf,33.091787439613526
BA,O441,hemorrhage,413,any_uf,5.250444952962115
BA,O458,hemorrhage,389,any_uf,4.945334350368675
BA,O061,hemorrhage,315,any_uf,4.004576659038902
BA,O450,hemorrhage,293,any_uf,3.7248919399949147
BA,O721,hemorrhage,247,any_uf,3.140096618357488
BA,O036,hemorrhage,178,any_uf,2.2629036359013477
BA,O722,hemorrhage,163,any_uf,2.0722095092804476
BA,O051,hemorrhage,157,any_uf,1.9959318586320876
BA,O720,hemorrhage,118,any_uf,1.5001271294177472
BA,O041,hemorrhage,83,any_uf,1.0551741673023138
BA,O066,hemorrhage,50,any_uf,0.6356470887363336
BA,O081,hemorrhage,34,any_uf,0.43224002034070685
BA,O469,hemorrhage,20,any_uf,0.25425883549453343
BA,O056,hemorrhage,18,any_uf,0.2288329519450801
BA,O694,hemorrhage,18,any_uf,0.2288329519450801
BA,O468,hemorrhage,16,any_uf,0.20340706839562675
BA,O046,hemorrhage,13,any_uf,0.16526824307144675
BA,O670,hemorrhage,13,any_uf,0.16526824307144675
BA,O460,hemorrhage,5,any_uf,0.06356470887363336
BA,O141,hypertension,6517,any_uf,43.42061429808781
BA,O140,hypertension,3525,any_uf,23.485908454927042
BA,O149,hypertension,2881,any_uf,19.195149576920514
BA,O150,hypertension,912,any_uf,6.0763541874875076
BA,O151,hypertension,539,any_uf,3.591178626157639
BA,O159,hypertension,492,any_uf,3.2780331800919447
BA,O152,hypertension,80,any_uf,0.5330135252182024
BA,O11,hypertension,63,any_uf,0.4197481511093344
CE,O141,W,13801,any_uf,58.30833579787908
CE,O149,W,2293,any_uf,9.687777261396764
