territory,year,admissions,W,hemorrhage,diagnosis,cases,per_1000,percent_of_all_markers,percent_of_hemorrhage
AL,2008,55616,1989,476,O031,164,2.9487917146144995,8.24534942182001,34.45378151260504
AL,2008,55616,1989,476,O061,81,1.456415420023015,4.072398190045249,17.016806722689076
AL,2009,53988,1830,482,O031,160,2.963621545528636,8.743169398907105,33.19502074688797
AL,2009,53988,1830,482,O061,64,1.1854486182114543,3.4972677595628414,13.278008298755188
AL,2010,52891,1738,433,O031,146,2.7603940178858406,8.400460299194476,33.71824480369515
AL,2010,52891,1738,433,O061,46,0.8697131837174567,2.6467203682393556,10.623556581986143
AL,2011,53542,1689,358,O031,136,2.5400620073960627,8.052101835405566,37.98882681564246
AL,2011,53542,1689,358,O061,4,0.0747077060998842,0.23682652457075193,1.1173184357541899
AL,2012,49768,1640,261,O031,97,1.9490435621282751,5.914634146341464,37.16475095785441
AL,2012,49768,1640,261,O061,0,0.0,0.0,0.0
AL,2013,48748,1879,212,O031,54,1.107737753343727,2.873869079297499,25.471698113207548
AL,2013,48748,1879,212,O061,0,0.0,0.0,0.0
AL,2014,45663,1382,204,O031,73,1.5986685062304273,5.2821997105644,35.78431372549019
AL,2014,45663,1382,204,O061,0,0.0,0.0,0.0
AL,2015,48366,1931,364,O031,194,4.011082165157342,10.046607975142413,53.2967032967033
AL,2015,48366,1931,364,O061,4,0.08270272505479055,0.20714655618850336,1.098901098901099
AL,2016,47508,2149,513,O031,309,6.50416771912099,14.378780828292228,60.23391812865497
AL,2016,47508,2149,513,O061,6,0.1262945188178833,0.27919962773382967,1.1695906432748537
AL,2017,47816,2106,440,O031,239,4.998326919859461,11.348528015194681,54.31818181818182
AL,2017,47816,2106,440,O061,4,0.0836540070269366,0.1899335232668566,0.9090909090909091
AL,2018,49340,1971,392,O031,172,3.4860154033238753,8.726534753932015,43.87755102040816
AL,2018,49340,1971,392,O061,5,0.10133765707336846,0.2536783358701167,1.2755102040816326
AL,2019,47619,1971,382,O031,187,3.927003927003927,9.487569761542364,48.952879581151834
AL,2019,47619,1971,382,O061,6,0.126000126000126,0.30441400304414,1.5706806282722514
