territory,year,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000,outside_percent
AL,2008,55616,20,1546,1282,476,1989,23.050920598388952,8.558688147295742,35.76308975834292,2.7797756041426926
AL,2009,53988,27,1490,1095,482,1830,20.2822849522116,8.927909905905016,33.89642142698377,2.759872564273542
AL,2010,52891,31,1447,1023,433,1738,19.341664933542567,8.186648011949103,32.860032897846516,2.7358151670416517
AL,2011,53542,17,1273,1066,358,1689,19.90960367561914,6.686339695939636,31.545328900676104,2.3775727466288146
AL,2012,49768,9,836,1108,261,1640,22.26330171998071,5.244333708407009,32.95290146278733,1.6797942452981836
AL,2013,48748,18,609,1277,212,1879,26.195946500369246,4.348896364979076,38.5451710839419,1.2492820218265366
AL,2014,45663,13,588,873,204,1382,19.11832336902963,4.467511990013796,30.265203775485624,1.2876946324157414
AL,2015,48366,19,477,1161,364,1931,24.00446594715296,7.525947979985941,39.92474052020014,0.9862299962783774
AL,2016,47508,20,612,1283,513,2149,27.00597794055738,10.798181358929023,45.23448682327187,1.2882040919424096
AL,2017,47816,18,829,1340,440,2106,28.024092354023757,9.201940772963026,44.043834699682115,1.7337292956332608
AL,2018,49340,16,648,1331,392,1971,26.976084312930684,7.944872314552088,39.94730441832185,1.3133360356708552
AL,2019,47619,15,350,1271,382,1971,26.691026691026693,8.022008022008022,41.39104139104139,0.735000735000735
AL,2020,46638,14,580,968,263,1477,20.75560701573824,5.639178352416485,31.669454093228698,1.243621081521506
AL,2021,46462,27,507,1486,294,2077,31.98312599543713,6.3277517110757175,44.70319831259955,1.0912143256855065
AL,2022,42546,25,337,1425,324,2051,33.49316034409815,7.615286983500211,48.20664692333004,0.7920838621727072
AL,2023,45533,25,356,1772,268,2454,38.916829552192915,5.8858410383677775,53.8949772692333,0.7818505259921376
AL,2024,43442,14,299,1455,275,2159,33.49293310621058,6.330279453063855,49.69844850605405,0.6882740205331246
AL,2025,44947,21,303,1303,213,1909,28.98969897879725,4.738914721783434,42.472245088659974,0.6741273054931364
BA,2008,199817,78,2065,2617,1763,6424,13.096983740122212,8.823073111897386,32.14941671629541,1.0334456027264947
BA,2009,211554,82,2342,3239,1645,6869,15.310511736956048,7.775792469062273,32.46925134953723,1.1070459551698384
BA,2010,210140,62,2835,3091,1568,6628,14.709241458075569,7.4616922051965355,31.540877510231276,1.3491005996002665
BA,2011,206021,82,3640,3063,1474,6335,14.867416428422345,7.15461045233253,30.749292547847062,1.7668101795448037
BA,2012,196423,93,4093,2999,1416,5992,15.268069421605412,7.208931744245837,30.50559252226063,2.083768194152416
BA,2013,189337,112,4199,3170,1454,6077,16.742633505337043,7.679428743457433,32.09620940439534,2.217738740975087
BA,2014,191116,68,4196,3069,1537,6129,16.058310136252327,8.042236128843216,32.06952845392327,2.195525230749911
BA,2015,196441,77,4148,3014,1383,6044,15.343029204697594,7.040281814896075,30.76750780132457,2.111575485769264
BA,2016,189168,84,4215,2910,1401,6294,15.383151484394824,7.406115199188023,33.272012179649835,2.228178127378838
BA,2017,196293,94,4455,3007,1621,6351,15.318936487801398,8.258063201438665,32.35469425807339,2.269566413473736
BA,2018,193192,119,4916,3056,1349,5975,15.818460391734648,6.982690794649882,30.92778168868276,2.544618824796058
BA,2019,188985,100,5047,3046,1275,5920,16.11768129745747,6.746567187872054,31.32523745270789,2.670582321348255
BA,2020,176673,79,4876,3093,1259,5735,17.50691956326094,7.126159628239742,32.461100451115904,2.759901060150674
BA,2021,180201,92,4646,3077,1221,5544,17.07537694019456,6.775767060116204,30.765645029716815,2.5782320852825458
BA,2022,174011,77,4296,3316,1224,5849,19.056266557861285,7.034038078052537,33.61281758049778,2.4688094430811844
BA,2023,171566,75,4184,3209,1130,5616,18.70417215532215,6.586386580091626,32.73375843698635,2.438711632841006
BA,2024,164078,84,4601,3052,1037,5435,18.600909323614378,6.320164799668451,33.124489572032815,2.80415412182011
BA,2025,166477,89,4015,3639,971,6021,21.858875400205434,5.832637541522252,36.16715822606126,2.411744565315329
CE,2008,120964,25,273,3653,574,4774,30.199067491154395,4.745213451936113,39.46628749049304,0.22568698125062
CE,2009,123488,33,300,3530,488,4592,28.58577351645504,3.951800984711065,37.18579942990412,0.24293858512568023
CE,2010,123740,31,294,4032,495,5123,32.584451268789394,4.0003232584451265,41.40132535962502,0.23759495716825602
CE,2011,117187,34,231,3504,475,4530,29.900927577290997,4.053350627629345,38.656164932970384,0.1971208410489218
CE,2012,112696,39,297,3674,451,4650,32.60097962660609,4.001916660751047,41.261446723929865,0.26354085326897136
CE,2013,113629,28,303,4299,599,5456,37.83365162062502,5.271541595895414,48.01591143106073,0.2666572793917046
CE,2014,118002,29,337,4591,582,5760,38.90612023525025,4.932119794579753,48.81273198759343,0.28558837985796853
CE,2015,123229,41,375,4704,624,5931,38.17283269360297,5.06374311241672,48.12990448676854,0.3043114851211971
CE,2016,118120,40,495,4685,593,5859,39.66305452082628,5.020318320352184,49.60209955976973,0.4190653572637995
CE,2017,117541,50,582,5689,761,7066,48.40013271964676,6.4743366144579335,60.1151938472533,0.4951463744565726
CE,2018,123311,32,722,6464,724,7824,52.42030313597327,5.871333457680175,63.449327310621115,0.5855114304482163
CE,2019,125673,33,688,7013,826,8561,55.80355366705657,6.57261305133163,68.12123526931003,0.5474525156557096
CE,2020,117148,48,599,7217,806,8728,61.605831939085604,6.8801857479427735,74.50404616382696,0.5113190152627446
CE,2021,118994,68,440,7903,820,9417,66.41511336706053,6.89110375313041,79.1384439551574,0.36976654285090005
CE,2022,113485,33,270,7623,663,8917,67.17187293474909,5.842181786139137,78.5742609155395,0.23791690531788343
CE,2023,113897,32,289,7590,605,8916,66.63915643081029,5.311816816948647,78.28125411556056,0.2537380264625056
CE,2024,110817,32,271,7046,554,8355,63.582302354331915,4.999232969670718,75.39456942526868,0.24454731674743044
CE,2025,113428,39,296,7493,497,8932,66.05952674824559,4.381634164403851,78.74598864477906,0.26095849349367
MA,2008,101997,19,2925,1274,1003,2731,12.490563447944547,9.833622557526201,26.77529731266606,2.8677314038648194
MA,2009,102356,13,2694,892,1002,2309,8.71468208996053,9.789362616749385,22.558521239595137,2.631990308335613
MA,2010,103325,27,2921,749,924,2012,7.2489716912654245,8.94265666586015,19.472538107911927,2.8270021775949674
MA,2011,98289,19,2912,716,1019,2218,7.284640193714455,10.367385974015404,22.56610607494226,2.9626916542034207
MA,2012,98518,27,2252,840,1092,2470,8.526360665056131,11.084268864572971,25.07156052701029,2.2858766925840963
MA,2013,96554,25,2345,1152,416,2100,11.931147337241336,4.308469871781594,21.749487333512853,2.4286927522422688
MA,2014,96706,26,2020,1236,373,2458,12.781006349140695,3.857051268794077,25.417244017951315,2.088805244762476
MA,2015,98132,36,1868,1212,358,2366,12.350711286838136,3.6481473933069744,24.110381934537156,1.9035584722618515
MA,2016,88242,31,2177,1347,323,2535,15.264839872169714,3.660388477142404,28.72781668593187,2.467079168649849
MA,2017,95294,29,2134,1546,389,2922,16.223476819107184,4.082103805066426,30.663000818519528,2.2393854807228157
MA,2018,108738,51,2340,1565,372,3076,14.39239272379481,3.4210671522374883,28.28817892549063,2.151961595762291
MA,2019,107771,59,2205,1910,279,3493,17.722764008870662,2.5888225960601647,32.411316587950374,2.0460049549507753
MA,2020,98186,71,2236,1557,337,2852,15.857657914570305,3.4322612185036565,29.046910964903347,2.2773104108528712
MA,2021,106316,65,2028,1746,384,3352,16.422739756950975,3.611874035892998,31.528650438315964,1.9075209752059896
MA,2022,98486,51,1712,1677,460,3272,17.027800905712486,4.670714619336758,33.22299616189103,1.7383181365879414
MA,2023,97258,59,1782,1666,416,3160,17.129696271771987,4.277283102675359,32.49090049147628,1.8322400213864156
MA,2024,94078,35,1779,1941,429,3326,20.631816152554265,4.560045919343524,35.35364272199664,1.8909840770424542
MA,2025,96945,51,1938,2749,420,4234,28.356284491206353,4.332353396255609,43.67424828511012,1.9990716385579452
NE,2008,791453,970,12041,13221,8842,27143,16.70471904206567,11.171857330757481,34.29515081754697,1.5213790332464467
NE,2009,804462,948,10598,13675,8760,27462,16.99893842095711,10.88926512377216,34.137100322948754,1.3174021892892394
NE,2010,796340,411,11135,15438,9252,29578,19.38619182761132,11.618153050204686,37.14242660170279,1.398272094833865
NE,2011,776057,224,10660,15441,7886,28333,19.89673438935542,10.161624726018836,36.50891622651429,1.3736104435627796
NE,2012,745188,242,9573,16239,6716,28003,21.79181629333806,9.012490807688797,37.57843658244631,1.2846422647707691
NE,2013,730375,256,9246,17647,6023,28329,24.161560842033204,8.246448742084546,38.786924525072735,1.265925038507616
