municipality,name,income_pc,illiteracy_10plus,sewer_septic,uf,microregion,microregion_name,ibge_code,illiteracy_15plus,illiteracy_unknown_percent,census_year
210005,Açailândia - MA,423.91,16.0,13.051229806432834,MA,21009,Imperatriz,2100055,17.685537749138735,0.0,2010
210010,Afonso Cunha - MA,149.52,30.5,2.609363008442057,MA,21016,Coelho Neto,2100105,34.63520477352861,0.0,2010
210015,Água Doce do Maranhão - MA,171.24,33.599999999999994,1.502932551319648,MA,21013,Baixo Parnaíba Maranhense,2100154,36.02997205994412,0.0,2010
210020,Alcântara - MA,206.57,20.599999999999994,6.585446163977609,MA,21001,Litoral Ocidental Maranhense,2100204,22.436316133246244,0.0,2010
210030,Aldeias Altas - MA,172.13,35.099999999999994,8.88351192533702,MA,21016,Coelho Neto,2100303,37.67624020887728,0.0,2010
210040,Altamira do Maranhão - MA,159.62,30.200000000000003,4.212523719165086,MA,21008,Pindaré,2100402,32.976125881714594,0.0,2010
210043,Alto Alegre do Maranhão - MA,169.94,26.40000000000001,21.371174559753804,MA,21015,Codó,2100436,29.27699189940757,0.0,2010
210047,Alto Alegre do Pindaré - MA,138.74,28.099999999999994,9.529702970297029,MA,21008,Pindaré,2100477,32.24994968806601,0.0,2010
210050,Alto Parnaíba - MA,549.49,19.3,2.465857359635812,MA,21020,Gerais de Balsas,2100501,21.18750875227559,0.0,2010
210055,Amapá do Maranhão - MA,180.93,30.5,29.474384564204925,MA,21007,Gurupi,2100550,33.274912368552826,0.0,2010
210060,Amarante do Maranhão - MA,230.13,25.8,4.124715816823644,MA,21009,Imperatriz,2100600,28.435276177566926,0.0,2010
210070,Anajatuba - MA,204.0,24.599999999999994,11.047765793528503,MA,21005,Baixada Maranhense,2100709,27.309371850856568,0.0,2010
210080,Anapurus - MA,183.85,28.0,4.930847865303668,MA,21014,Chapadinha,2100808,29.8988140572299,0.0,2010
210083,Apicum-Açu - MA,210.96,17.0,0.7964601769911505,MA,21001,Litoral Ocidental Maranhense,2100832,18.68601530662956,0.0,2010
210087,Araguanã - MA,160.05,25.40000000000001,14.862204724409448,MA,21008,Pindaré,2100873,28.14773980154355,0.0,2010
210090,Araioses - MA,169.2,30.700000000000003,15.383864988781582,MA,21013,Baixo Parnaíba Maranhense,2100907,33.69996519317786,0.0,2010
210095,Arame - MA,204.74,30.200000000000003,13.436282291817,MA,21011,Alto Mearim e Grajaú,2100956,33.0365724113511,0.0,2010
210100,Arari - MA,286.29,20.40000000000001,50.194945848375454,MA,21005,Baixada Maranhense,2101004,22.01848613539845,0.0,2010
210110,Axixá - MA,217.02,14.700000000000005,33.51669941060904,MA,21003,Rosário,2101103,16.33491716964171,0.0,2010
210120,Bacabal - MA,372.72,19.599999999999994,31.113312504762632,MA,21010,Médio Mearim,2101202,21.401993921663305,0.0,2010
210125,Bacabeira - MA,249.83,16.599999999999994,31.227782335247472,MA,21003,Rosário,2101251,18.303042275780324,0.0,2010
210130,Bacuri - MA,230.0,21.099999999999994,13.51543942992874,MA,21001,Litoral Ocidental Maranhense,2101301,23.656294200848656,0.0,2010
210135,Bacurituba - MA,151.55,21.700000000000003,0.572655690765927,MA,21001,Litoral Ocidental Maranhense,2101350,23.896663078579117,0.0,2010
210140,Balsas - MA,523.37,11.700000000000005,18.43304977205433,MA,21020,Gerais de Balsas,2101400,12.917079032942175,0.0,2010
210150,Barão de Grajaú - MA,287.98,20.599999999999994,5.099449851883199,MA,21018,Chapadas do Alto Itapecuru,2101509,22.698680576864067,0.0,2010
210160,Barra do Corda - MA,295.01,25.0,14.117320759950076,MA,21011,Alto Mearim e Grajaú,2101608,27.715608207565573,0.0,2010
210170,Barreirinhas - MA,193.23,23.099999999999994,16.53342124783648,MA,21004,Lençóis Maranhenses,2101707,25.374688964758985,0.0,2010
210173,Belágua - MA,106.29,36.6,3.7154150197628457,MA,21014,Chapadinha,2101731,39.1954335417233,0.0,2010
210177,Bela Vista do Maranhão - MA,196.65,27.099999999999994,6.648757555406313,MA,21005,Baixada Maranhense,2101772,29.44048066090875,0.0,2010
210180,Benedito Leite - MA,211.79,26.700000000000003,34.178999295278366,MA,21021,Chapadas das Mangabeiras,2101806,29.236216489630753,0.0,2010
210190,Bequimão - MA,188.5,22.0,5.233280113535568,MA,21001,Litoral Ocidental Maranhense,2101905,24.230980499862675,0.0,2010
210193,Bernardo do Mearim - MA,233.89,24.5,27.87433155080214,MA,21010,Médio Mearim,2101939,26.781958401495675,0.0,2010
210197,Boa Vista do Gurupi - MA,195.23,20.8,4.678040726472207,MA,21007,Gurupi,2101970,23.744292237442924,0.0,2010
210200,Bom Jardim - MA,193.78,28.8,3.9407839866555454,MA,21008,Pindaré,2102002,31.842979127134726,0.0,2010
210203,Bom Jesus das Selvas - MA,204.57,25.40000000000001,22.656755009696187,MA,21008,Pindaré,2102036,27.35362743502089,0.0,2010
210207,Bom Lugar - MA,161.23,28.90000000000001,1.7897727272727273,MA,21010,Médio Mearim,2102077,32.105052925903735,0.0,2010
210210,Brejo - MA,196.0,27.5,19.145449962188053,MA,21014,Chapadinha,2102101,29.919125288031445,0.0,2010
210215,Brejo de Areia - MA,180.63,30.5,0.3139717425431711,MA,21008,Pindaré,2102150,35.07526270945754,0.0,2010
210220,Buriti - MA,151.73,27.700000000000003,5.670358736981319,MA,21014,Chapadinha,2102200,30.271102166449626,0.0,2010
210230,Buriti Bravo - MA,225.12,27.200000000000003,6.533543527763181,MA,21017,Caxias,2102309,30.42202074228687,0.0,2010
210232,Buriticupu - MA,209.85,24.599999999999994,6.738796500367328,MA,21008,Pindaré,2102325,26.898905091569695,0.0,2010
210235,Buritirana - MA,228.84,25.40000000000001,4.397350993377484,MA,21009,Imperatriz,2102358,28.450762257931604,0.0,2010
210237,Cachoeira Grande - MA,109.4,27.8,2.542372881355932,MA,21003,Rosário,2102374,30.408792903972234,0.0,2010
210240,Cajapió - MA,139.85,24.5,31.274131274131275,MA,21001,Litoral Ocidental Maranhense,2102408,25.584324702589225,0.0,2010
210250,Cajari - MA,131.18,20.700000000000003,4.294336118848654,MA,21005,Baixada Maranhense,2102507,21.743520700100976,0.0,2010
210255,Campestre do Maranhão - MA,349.83,18.90000000000001,2.046617396247868,MA,21019,Porto Franco,2102556,21.226467026312893,0.0,2010
210260,Cândido Mendes - MA,202.93,20.599999999999994,18.869731800766285,MA,21007,Gurupi,2102606,21.447677717435358,0.0,2010
210270,Cantanhede - MA,172.6,26.599999999999994,34.22448546573308,MA,21006,Itapecuru Mirim,2102705,28.85553748336537,0.0,2010
210275,Capinzal do Norte - MA,194.79,29.40000000000001,9.0625,MA,21015,Codó,2102754,32.18849840255591,0.0,2010
210280,Carolina - MA,323.2,13.700000000000005,30.03657179201781,MA,21019,Porto Franco,2102804,15.130905808004815,0.0,2010
210290,Carutapera - MA,219.0,17.599999999999994,20.33596837944664,MA,21007,Gurupi,2102903,19.59952721963429,0.0,2010
210300,Caxias - MA,319.79,23.8,26.843481509152035,MA,21017,Caxias,2103000,25.746511991035426,0.0,2010
210310,Cedral - MA,200.77,15.799999999999995,1.7327685791297651,MA,21001,Litoral Ocidental Maranhense,2103109,17.235262008733624,0.0,2010
210312,Central do Maranhão - MA,182.32,24.099999999999994,7.175341081354219,MA,21001,Litoral Ocidental Maranhense,2103125,26.72684458398744,0.0,2010
210315,Centro do Guilherme - MA,186.51,27.0,6.74893945237177,MA,21007,Gurupi,2103158,28.79754601226994,0.0,2010
210317,Centro Novo do Maranhão - MA,182.89,23.3,10.922453117080588,MA,21007,Gurupi,2103174,25.391994097030068,0.0,2010
210320,Chapadinha - MA,244.0,23.3,16.56938856462855,MA,21014,Chapadinha,2103208,25.42709249749371,0.0,2010
210325,Cidelândia - MA,260.05,22.0,0.7681365576102418,MA,21009,Imperatriz,2103257,24.28946217752514,0.0,2010
210330,Codó - MA,266.96,27.90000000000001,24.879104528084948,MA,21015,Codó,2103307,30.47081073010501,0.0,2010
210340,Coelho Neto - MA,224.79,26.200000000000003,7.118430525557955,MA,21016,Coelho Neto,2103406,28.951416485066016,0.0,2010
210350,Colinas - MA,278.42,27.5,4.649042844120328,MA,21018,Chapadas do Alto Itapecuru,2103505,29.83085403609454,0.0,2010
210355,Conceição do Lago-Açu - MA,170.69,32.8,2.4857741838873912,MA,21005,Baixada Maranhense,2103554,34.87528344671202,0.0,2010
210360,Coroatá - MA,220.58,28.8,20.63531922907904,MA,21015,Codó,2103604,32.18225419664269,0.0,2010
210370,Cururupu - MA,272.32,15.599999999999994,2.65812270084253,MA,21001,Litoral Ocidental Maranhense,2103703,17.41328526838704,0.0,2010
210375,Davinópolis - MA,259.02,22.3,20.94635322483424,MA,21009,Imperatriz,2103752,25.00893601811033,0.0,2010
