municipality,ibge_code,name,uf,microregion,microregion_name,income_pc,illiteracy_15plus,sewer_septic,census_year
210005,2100055,Açailândia - MA,MA,21009,Imperatriz,1007.41,12.86,34.846458066767475,2022
210010,2100105,Afonso Cunha - MA,MA,21016,Coelho Neto,605.56,23.22,26.01530311948205,2022
210015,2100154,Água Doce do Maranhão - MA,MA,21013,Baixo Parnaíba Maranhense,597.92,25.700000000000003,37.84928027095682,2022
210020,2100204,Alcântara - MA,MA,21001,Litoral Ocidental Maranhense,681.48,18.480000000000004,31.727099236641223,2022
210030,2100303,Aldeias Altas - MA,MA,21016,Coelho Neto,533.46,28.459999999999994,45.573229291716686,2022
210040,2100402,Altamira do Maranhão - MA,MA,21008,Pindaré,798.15,24.700000000000003,48.51282051282051,2022
210043,2100436,Alto Alegre do Maranhão - MA,MA,21015,Codó,671.08,23.75,42.41379310344828,2022
210047,2100477,Alto Alegre do Pindaré - MA,MA,21008,Pindaré,616.57,22.159999999999997,17.42760942760943,2022
210050,2100501,Alto Parnaíba - MA,MA,21020,Gerais de Balsas,803.48,12.939999999999998,39.794419970631424,2022
210055,2100550,Amapá do Maranhão - MA,MA,21007,Gurupi,546.81,20.760000000000005,1.5802469135802468,2022
210060,2100600,Amarante do Maranhão - MA,MA,21009,Imperatriz,602.61,19.599999999999994,9.088395243801273,2022
210070,2100709,Anajatuba - MA,MA,21005,Baixada Maranhense,647.55,21.980000000000004,8.248559872533399,2022
210080,2100808,Anapurus - MA,MA,21014,Chapadinha,647.27,21.709999999999994,11.536536536536536,2022
210083,2100832,Apicum-Açu - MA,MA,21001,Litoral Ocidental Maranhense,594.97,15.549999999999997,1.0507533703409992,2022
210087,2100873,Araguanã - MA,MA,21008,Pindaré,601.3,20.150000000000006,23.489096573208723,2022
210090,2100907,Araioses - MA,MA,21013,Baixo Parnaíba Maranhense,495.55,27.620000000000005,7.308109913973106,2022
210095,2100956,Arame - MA,MA,21011,Alto Mearim e Grajaú,570.78,24.989999999999995,1.2720156555772995,2022
210100,2101004,Arari - MA,MA,21005,Baixada Maranhense,723.36,15.540000000000006,8.521079634173544,2022
210110,2101103,Axixá - MA,MA,21003,Rosário,692.03,12.5,30.35287081339713,2022
210120,2101202,Bacabal - MA,MA,21010,Médio Mearim,894.93,14.870000000000005,44.19785364667254,2022
210125,2101251,Bacabeira - MA,MA,21003,Rosário,704.29,14.019999999999996,7.24007561436673,2022
210130,2101301,Bacuri - MA,MA,21001,Litoral Ocidental Maranhense,639.65,19.069999999999993,17.499024580569646,2022
210135,2101350,Bacurituba - MA,MA,21001,Litoral Ocidental Maranhense,624.92,16.980000000000004,34.50057405281286,2022
210140,2101400,Balsas - MA,MA,21020,Gerais de Balsas,1166.62,8.409999999999997,68.35512866275108,2022
210150,2101509,Barão de Grajaú - MA,MA,21018,Chapadas do Alto Itapecuru,815.92,16.519999999999996,44.65146161259236,2022
210160,2101608,Barra do Corda - MA,MA,21011,Alto Mearim e Grajaú,817.61,20.239999999999995,15.250858345331709,2022
210170,2101707,Barreirinhas - MA,MA,21004,Lençóis Maranhenses,612.86,16.89,36.95954593511769,2022
210173,2101731,Belágua - MA,MA,21014,Chapadinha,388.46,23.650000000000006,1.78743961352657,2022
210177,2101772,Bela Vista do Maranhão - MA,MA,21005,Baixada Maranhense,670.39,20.510000000000005,77.66323024054982,2022
210180,2101806,Benedito Leite - MA,MA,21021,Chapadas das Mangabeiras,715.98,21.560000000000002,4.612756264236902,2022
210190,2101905,Bequimão - MA,MA,21001,Litoral Ocidental Maranhense,679.09,18.53,5.829730132697182,2022
210193,2101939,Bernardo do Mearim - MA,MA,21010,Médio Mearim,728.32,17.67,64.89184692179701,2022
210197,2101970,Boa Vista do Gurupi - MA,MA,21007,Gurupi,570.27,19.099999999999994,3.6812674743709226,2022
210200,2102002,Bom Jardim - MA,MA,21008,Pindaré,545.68,24.930000000000007,45.616733312826824,2022
210203,2102036,Bom Jesus das Selvas - MA,MA,21008,Pindaré,698.74,22.33,3.388189738625363,2022
210207,2102077,Bom Lugar - MA,MA,21010,Médio Mearim,638.84,26.89,70.4494382022472,2022
210210,2102101,Brejo - MA,MA,21014,Chapadinha,615.04,23.180000000000007,25.36291995022812,2022
210215,2102150,Brejo de Areia - MA,MA,21008,Pindaré,516.09,25.42,71.78781925343812,2022
210220,2102200,Buriti - MA,MA,21014,Chapadinha,489.45,23.64,0.6309538537671656,2022
210230,2102309,Buriti Bravo - MA,MA,21017,Caxias,593.63,23.430000000000007,11.019366461492268,2022
210232,2102325,Buriticupu - MA,MA,21008,Pindaré,667.09,20.549999999999997,32.0337841973193,2022
210235,2102358,Buritirana - MA,MA,21009,Imperatriz,696.88,20.549999999999997,2.06511175898931,2022
210237,2102374,Cachoeira Grande - MA,MA,21003,Rosário,389.45,22.200000000000003,6.005221932114883,2022
210240,2102408,Cajapió - MA,MA,21001,Litoral Ocidental Maranhense,507.33,20.209999999999994,1.1764705882352942,2022
210250,2102507,Cajari - MA,MA,21005,Baixada Maranhense,552.62,14.650000000000006,3.5459547585082536,2022
210255,2102556,Campestre do Maranhão - MA,MA,21019,Porto Franco,833.52,15.549999999999997,60.74863530023395,2022
210260,2102606,Cândido Mendes - MA,MA,21007,Gurupi,587.02,17.129999999999995,1.2143611404435057,2022
210270,2102705,Cantanhede - MA,MA,21006,Itapecuru Mirim,737.41,17.049999999999997,22.357047872340427,2022
210275,2102754,Capinzal do Norte - MA,MA,21015,Codó,780.81,24.83,2.0117351215423303,2022
210280,2102804,Carolina - MA,MA,21019,Porto Franco,936.53,12.25,27.205223402893356,2022
210290,2102903,Carutapera - MA,MA,21007,Gurupi,676.39,14.299999999999997,6.27034677990092,2022
210300,2103000,Caxias - MA,MA,21017,Caxias,853.08,17.519999999999996,47.38501753002925,2022
210310,2103109,Cedral - MA,MA,21001,Litoral Ocidental Maranhense,616.29,13.200000000000003,74.89082969432314,2022
210312,2103125,Central do Maranhão - MA,MA,21001,Litoral Ocidental Maranhense,580.82,20.739999999999995,1.2669683257918551,2022
210315,2103158,Centro do Guilherme - MA,MA,21007,Gurupi,735.27,20.14,75.20560462991166,2022
210317,2103174,Centro Novo do Maranhão - MA,MA,21007,Gurupi,705.59,20.269999999999996,1.8633540372670807,2022
210320,2103208,Chapadinha - MA,MA,21014,Chapadinha,741.25,19.120000000000005,18.717670615718337,2022
210325,2103257,Cidelândia - MA,MA,21009,Imperatriz,831.99,19.049999999999997,72.87644787644787,2022
210330,2103307,Codó - MA,MA,21015,Codó,725.27,22.299999999999997,53.261866544370555,2022
210340,2103406,Coelho Neto - MA,MA,21016,Coelho Neto,671.03,21.540000000000006,43.11849613964418,2022
210350,2103505,Colinas - MA,MA,21018,Chapadas do Alto Itapecuru,711.68,21.709999999999994,10.887678256689632,2022
210355,2103554,Conceição do Lago-Açu - MA,MA,21005,Baixada Maranhense,542.17,23.010000000000005,48.06333739342266,2022
210360,2103604,Coroatá - MA,MA,21015,Codó,625.41,23.760000000000005,48.52559690825348,2022
210370,2103703,Cururupu - MA,MA,21001,Litoral Ocidental Maranhense,699.05,14.510000000000005,35.0513408433855,2022
210375,2103752,Davinópolis - MA,MA,21009,Imperatriz,823.31,14.260000000000005,41.725043782837126,2022
210380,2103802,Dom Pedro - MA,MA,21012,Presidente Dutra,863.58,16.25,43.285420944558524,2022
210390,2103901,Duque Bacelar - MA,MA,21016,Coelho Neto,535.56,26.689999999999998,1.6375545851528384,2022
210400,2104008,Esperantinópolis - MA,MA,21010,Médio Mearim,641.75,21.17,86.0923623445826,2022
210405,2104057,Estreito - MA,MA,21019,Porto Franco,1045.87,11.489999999999995,16.31515376753693,2022
210407,2104073,Feira Nova do Maranhão - MA,MA,21020,Gerais de Balsas,680.02,16.060000000000002,2.0531400966183573,2022
210408,2104081,Fernando Falcão - MA,MA,21011,Alto Mearim e Grajaú,584.52,26.230000000000004,6.746626686656672,2022
210409,2104099,Formosa da Serra Negra - MA,MA,21011,Alto Mearim e Grajaú,658.6,14.079999999999998,0.9165366614664586,2022
210410,2104107,Fortaleza dos Nogueiras - MA,MA,21021,Chapadas das Mangabeiras,922.26,10.939999999999998,12.865197334700154,2022
210420,2104206,Fortuna - MA,MA,21012,Presidente Dutra,663.54,20.480000000000004,9.034267912772586,2022
210430,2104305,Godofredo Viana - MA,MA,21007,Gurupi,799.67,13.450000000000003,2.8343949044585988,2022
210440,2104404,Gonçalves Dias - MA,MA,21012,Presidente Dutra,761.9,24.230000000000004,9.458700131110694,2022
210450,2104503,Governador Archer - MA,MA,21012,Presidente Dutra,708.84,20.92,3.404111897539602,2022
210455,2104552,Governador Edison Lobão - MA,MA,21009,Imperatriz,790.85,15.420000000000002,63.480598017806145,2022
210460,2104602,Governador Eugênio Barros - MA,MA,21012,Presidente Dutra,734.73,23.950000000000003,0.6208323752586802,2022
210462,2104628,Governador Luiz Rocha - MA,MA,21012,Presidente Dutra,710.62,22.510000000000005,0.41189931350114417,2022
210465,2104651,Governador Newton Bello - MA,MA,21008,Pindaré,619.07,18.61,58.018531717747685,2022
210467,2104677,Governador Nunes Freire - MA,MA,21007,Gurupi,678.51,18.040000000000006,17.67324528861849,2022
210470,2104701,Graça Aranha - MA,MA,21012,Presidente Dutra,681.18,20.64,1.5672396359959555,2022
210480,2104800,Grajaú - MA,MA,21011,Alto Mearim e Grajaú,821.45,17.159999999999997,11.801156706141558,2022
210490,2104909,Guimarães - MA,MA,21001,Litoral Ocidental Maranhense,740.79,11.049999999999997,33.930602957906714,2022
210500,2105005,Humberto de Campos - MA,MA,21004,Lençóis Maranhenses,415.69,18.430000000000007,21.062428407789234,2022
210510,2105104,Icatu - MA,MA,21003,Rosário,439.27,17.950000000000003,14.810529360717386,2022
210515,2105153,Igarapé do Meio - MA,MA,21005,Baixada Maranhense,646.04,21.260000000000005,26.53111827423754,2022
210520,2105203,Igarapé Grande - MA,MA,21010,Médio Mearim,800.72,23.370000000000005,32.06083178150217,2022
210530,2105302,Imperatriz - MA,MA,21009,Imperatriz,1324.19,6.780000000000001,83.57916850950906,2022
210535,2105351,Itaipava do Grajaú - MA,MA,21011,Alto Mearim e Grajaú,553.45,25.450000000000003,43.21700341117817,2022
210540,2105401,Itapecuru Mirim - MA,MA,21006,Itapecuru Mirim,658.19,18.010000000000005,25.961436592859414,2022
210542,2105427,Itinga do Maranhão - MA,MA,21009,Imperatriz,882.07,14.879999999999995,14.256368118323747,2022
210545,2105450,Jatobá - MA,MA,21018,Chapadas do Alto Itapecuru,559.77,22.36,6.578947368421052,2022
210547,2105476,Jenipapo dos Vieiras - MA,MA,21011,Alto Mearim e Grajaú,465.99,27.909999999999997,10.431808465156049,2022
210550,2105500,João Lisboa - MA,MA,21009,Imperatriz,850.02,14.810000000000002,42.89273537896669,2022
210560,2105609,Joselândia - MA,MA,21011,Alto Mearim e Grajaú,669.96,24.939999999999998,22.36901030004478,2022
210565,2105658,Junco do Maranhão - MA,MA,21007,Gurupi,569.66,19.629999999999995,1.400933955970647,2022
210570,2105708,Lago da Pedra - MA,MA,21008,Pindaré,819.51,23.790000000000006,28.841730355420346,2022
210580,2105807,Lago do Junco - MA,MA,21010,Médio Mearim,780.64,25.409999999999997,53.537818055071455,2022
210590,2105906,Lago Verde - MA,MA,21010,Médio Mearim,665.18,26.67,42.54528564793311,2022
210592,2105922,Lagoa do Mato - MA,MA,21018,Chapadas do Alto Itapecuru,568.19,22.760000000000005,29.523208083359645,2022
210594,2105948,Lago dos Rodrigues - MA,MA,21010,Médio Mearim,774.33,23.799999999999997,6.607142857142857,2022
210596,2105963,Lagoa Grande do Maranhão - MA,MA,21008,Pindaré,589.81,28.549999999999997,2.228163992869875,2022
210598,2105989,Lajeado Novo - MA,MA,21009,Imperatriz,765.61,16.370000000000005,68.01878736122971,2022
210600,2106003,Lima Campos - MA,MA,21010,Médio Mearim,831.6,21.700000000000003,57.58403935501503,2022
210610,2106102,Loreto - MA,MA,21021,Chapadas das Mangabeiras,747.53,13.439999999999998,80.42460193568529,2022
210620,2106201,Luís Domingues - MA,MA,21007,Gurupi,592.02,13.969999999999999,2.3640661938534278,2022
210630,2106300,Magalhães de Almeida - MA,MA,21013,Baixo Parnaíba Maranhense,660.15,23.760000000000005,3.1324157570004747,2022
210632,2106326,Maracaçumé - MA,MA,21007,Gurupi,546.44,18.209999999999994,8.55,2022
210635,2106359,Marajá do Sena - MA,MA,21008,Pindaré,425.87,28.730000000000004,16.319082377476537,2022
210637,2106375,Maranhãozinho - MA,MA,21007,Gurupi,468.04,22.480000000000004,3.307276007215875,2022
210640,2106409,Mata Roma - MA,MA,21014,Chapadinha,624.96,20.97,13.741411617738914,2022
210650,2106508,Matinha - MA,MA,21005,Baixada Maranhense,630.66,15.329999999999998,3.064965537468837,2022
210660,2106607,Matões - MA,MA,21017,Caxias,597.81,24.61,23.99402284128509,2022
210663,2106631,Matões do Norte - MA,MA,21006,Itapecuru Mirim,446.05,19.200000000000003,12.96438636945939,2022
210667,2106672,Milagres do Maranhão - MA,MA,21014,Chapadinha,433.27,29.340000000000003,0.6331785563528916,2022
210670,2106706,Mirador - MA,MA,21018,Chapadas do Alto Itapecuru,584.89,23.950000000000003,5.182095299213862,2022
210675,2106755,Miranda do Norte - MA,MA,21006,Itapecuru Mirim,629.09,14.450000000000003,28.658074298711146,2022
210680,2106805,Mirinzal - MA,MA,21001,Litoral Ocidental Maranhense,750.33,12.260000000000005,64.20216287795189,2022
210690,2106904,Monção - MA,MA,21005,Baixada Maranhense,555.93,20.450000000000003,17.55907491201609,2022
210700,2107001,Montes Altos - MA,MA,21009,Imperatriz,775.51,15.879999999999995,77.90858725761773,2022
210710,2107100,Morros - MA,MA,21003,Rosário,509.29,18.769999999999996,11.29125651418645,2022
210720,2107209,Nina Rodrigues - MA,MA,21006,Itapecuru Mirim,535.22,19.629999999999995,2.6091888825865004,2022
210725,2107258,Nova Colinas - MA,MA,21021,Chapadas das Mangabeiras,765.0,17.67,1.3577732518669383,2022
210730,2107308,Nova Iorque - MA,MA,21018,Chapadas do Alto Itapecuru,727.08,19.430000000000007,41.079460269865066,2022
210735,2107357,Nova Olinda do Maranhão - MA,MA,21008,Pindaré,627.94,21.33,20.78194088899232,2022
210740,2107407,Olho d'Água das Cunhãs - MA,MA,21010,Médio Mearim,786.89,26.180000000000007,49.24135497529993,2022
210745,2107456,Olinda Nova do Maranhão - MA,MA,21005,Baixada Maranhense,566.55,18.549999999999997,5.743811583753906,2022
210750,2107506,Paço do Lumiar - MA,MA,21002,Aglomeração Urbana de São Luís,1055.14,4.1299999999999955,84.94985374007521,2022
210760,2107605,Palmeirândia - MA,MA,21005,Baixada Maranhense,522.16,19.840000000000003,31.03448275862069,2022
210770,2107704,Paraibano - MA,MA,21018,Chapadas do Alto Itapecuru,735.73,23.620000000000005,4.572497025327214,2022
210780,2107803,Parnarama - MA,MA,21017,Caxias,609.43,25.700000000000003,42.834462320067736,2022
210790,2107902,Passagem Franca - MA,MA,21018,Chapadas do Alto Itapecuru,634.75,25.129999999999995,6.816465256797583,2022
210800,2108009,Pastos Bons - MA,MA,21018,Chapadas do Alto Itapecuru,759.03,17.090000000000003,3.676470588235294,2022
210805,2108058,Paulino Neves - MA,MA,21004,Lençóis Maranhenses,560.24,21.08,7.5147125396106835,2022
210810,2108108,Paulo Ramos - MA,MA,21008,Pindaré,668.82,26.790000000000006,30.820882994796037,2022
210820,2108207,Pedreiras - MA,MA,21010,Médio Mearim,1102.76,15.299999999999997,49.81001156451347,2022
210825,2108256,Pedro do Rosário - MA,MA,21005,Baixada Maranhense,507.8,20.42,10.619596541786743,2022
210830,2108306,Penalva - MA,MA,21005,Baixada Maranhense,565.26,16.810000000000002,8.3384996900186,2022
210840,2108405,Peri Mirim - MA,MA,21005,Baixada Maranhense,665.56,15.319999999999993,8.038075092543627,2022
210845,2108454,Peritoró - MA,MA,21015,Codó,710.01,25.049999999999997,16.60212971926428,2022
210850,2108504,Pindaré-Mirim - MA,MA,21008,Pindaré,786.22,15.730000000000004,66.92821545965433,2022
210860,2108603,Pinheiro - MA,MA,21005,Baixada Maranhense,833.75,14.090000000000003,18.25588066551922,2022
210870,2108702,Pio XII - MA,MA,21010,Médio Mearim,726.65,24.870000000000005,48.342032545287076,2022
210880,2108801,Pirapemas - MA,MA,21006,Itapecuru Mirim,629.73,23.540000000000006,11.106870229007633,2022
210890,2108900,Poção de Pedras - MA,MA,21010,Médio Mearim,810.21,25.340000000000003,61.998247151621385,2022
210900,2109007,Porto Franco - MA,MA,21019,Porto Franco,1084.18,10.950000000000003,22.454207762264634,2022
210905,2109056,Porto Rico do Maranhão - MA,MA,21001,Litoral Ocidental Maranhense,671.08,13.019999999999996,88.89482114255206,2022
210910,2109106,Presidente Dutra - MA,MA,21012,Presidente Dutra,1062.56,16.269999999999996,28.737796373779638,2022
210920,2109205,Presidente Juscelino - MA,MA,21003,Rosário,539.16,20.700000000000003,14.615627965833596,2022
