territory,year,diagnosis,outcome,cases,percent_of_outcome
AL,2008,O030,W,3,0.15082956259426847
AL,2008,O031,W,164,8.24534942182001
AL,2008,O035,W,6,0.30165912518853694
AL,2008,O036,W,2,0.10055304172951232
AL,2008,O040,W,8,0.4022121669180493
AL,2008,O041,W,6,0.30165912518853694
AL,2008,O050,W,3,0.15082956259426847
AL,2008,O051,W,2,0.10055304172951232
AL,2008,O060,W,7,0.35193564605329314
AL,2008,O061,W,81,4.072398190045249
AL,2008,O080,W,2,0.10055304172951232
AL,2008,O11,W,2,0.10055304172951232
AL,2008,O140,W,72,3.6199095022624435
AL,2008,O141,W,566,28.456510809451984
AL,2008,O149,W,540,27.149321266968325
AL,2008,O150,W,62,3.117144293614882
AL,2008,O151,W,11,0.5530417295123178
AL,2008,O152,W,4,0.20110608345902464
AL,2008,O159,W,25,1.256913021618904
AL,2008,O411,W,4,0.20110608345902464
AL,2008,O441,W,51,2.5641025641025643
AL,2008,O450,W,28,1.4077425842131726
AL,2008,O458,W,9,0.45248868778280543
AL,2008,O459,W,96,4.826546003016591
AL,2008,O460,W,1,0.05027652086475616
AL,2008,O468,W,4,0.20110608345902464
AL,2008,O469,W,1,0.05027652086475616
AL,2008,O670,W,2,0.10055304172951232
AL,2008,O710,W,3,0.15082956259426847
AL,2008,O711,W,2,0.10055304172951232
AL,2008,O720,W,3,0.15082956259426847
AL,2008,O721,W,6,0.30165912518853694
AL,2008,O722,W,20,1.0055304172951232
AL,2008,O753,W,1,0.05027652086475616
AL,2008,O85,W,116,5.832076420311714
AL,2008,O860,W,64,3.2176973353443943
AL,2008,O868,W,11,0.5530417295123178
AL,2008,O900,W,1,0.05027652086475616
AL,2008,O031,hemorrhage,164,34.45378151260504
AL,2008,O036,hemorrhage,2,0.42016806722689076
AL,2008,O041,hemorrhage,6,1.2605042016806722
AL,2008,O051,hemorrhage,2,0.42016806722689076
AL,2008,O061,hemorrhage,81,17.016806722689076
AL,2008,O441,hemorrhage,51,10.714285714285714
AL,2008,O450,hemorrhage,28,5.882352941176471
AL,2008,O458,hemorrhage,9,1.8907563025210083
AL,2008,O459,hemorrhage,96,20.168067226890756
AL,2008,O460,hemorrhage,1,0.21008403361344538
AL,2008,O468,hemorrhage,4,0.8403361344537815
AL,2008,O469,hemorrhage,1,0.21008403361344538
AL,2008,O670,hemorrhage,2,0.42016806722689076
AL,2008,O720,hemorrhage,3,0.6302521008403361
AL,2008,O721,hemorrhage,6,1.2605042016806722
AL,2008,O722,hemorrhage,20,4.201680672268908
AL,2008,O11,hypertension,2,0.15600624024961
AL,2008,O140,hypertension,72,5.616224648985959
AL,2008,O141,hypertension,566,44.14976599063962
AL,2008,O149,hypertension,540,42.1216848673947
AL,2008,O150,hypertension,62,4.83619344773791
AL,2008,O151,hypertension,11,0.858034321372855
AL,2008,O152,hypertension,4,0.31201248049922
AL,2008,O159,hypertension,25,1.9500780031201248
AL,2009,O030,W,16,0.8743169398907104
AL,2009,O031,W,160,8.743169398907105
AL,2009,O035,W,1,0.0546448087431694
AL,2009,O040,W,7,0.3825136612021858
AL,2009,O041,W,3,0.16393442622950818
AL,2009,O050,W,3,0.16393442622950818
AL,2009,O051,W,3,0.16393442622950818
AL,2009,O060,W,3,0.16393442622950818
AL,2009,O061,W,64,3.4972677595628414
AL,2009,O080,W,1,0.0546448087431694
AL,2009,O081,W,1,0.0546448087431694
AL,2009,O140,W,99,5.409836065573771
AL,2009,O141,W,444,24.262295081967213
AL,2009,O149,W,470,25.683060109289617
AL,2009,O150,W,66,3.6065573770491803
AL,2009,O151,W,9,0.4918032786885246
AL,2009,O152,W,7,0.3825136612021858
AL,2009,O411,W,13,0.7103825136612022
AL,2009,O441,W,58,3.169398907103825
AL,2009,O450,W,38,2.0765027322404372
AL,2009,O458,W,7,0.3825136612021858
AL,2009,O459,W,72,3.9344262295081966
AL,2009,O460,W,1,0.0546448087431694
AL,2009,O468,W,10,0.546448087431694
AL,2009,O469,W,1,0.0546448087431694
AL,2009,O670,W,2,0.1092896174863388
AL,2009,O694,W,1,0.0546448087431694
AL,2009,O711,W,2,0.1092896174863388
AL,2009,O720,W,3,0.16393442622950818
AL,2009,O721,W,5,0.273224043715847
AL,2009,O722,W,53,2.8961748633879782
AL,2009,O85,W,125,6.830601092896175
AL,2009,O860,W,62,3.387978142076503
AL,2009,O868,W,8,0.4371584699453552
AL,2009,O900,W,12,0.6557377049180327
AL,2009,O031,hemorrhage,160,33.19502074688797
AL,2009,O041,hemorrhage,3,0.6224066390041494
AL,2009,O051,hemorrhage,3,0.6224066390041494
AL,2009,O061,hemorrhage,64,13.278008298755188
AL,2009,O081,hemorrhage,1,0.2074688796680498
AL,2009,O441,hemorrhage,58,12.033195020746888
AL,2009,O450,hemorrhage,38,7.8838174273858925
AL,2009,O458,hemorrhage,7,1.4522821576763485
AL,2009,O459,hemorrhage,72,14.937759336099585
AL,2009,O460,hemorrhage,1,0.2074688796680498
AL,2009,O468,hemorrhage,10,2.074688796680498
AL,2009,O469,hemorrhage,1,0.2074688796680498
AL,2009,O670,hemorrhage,2,0.4149377593360996
AL,2009,O694,hemorrhage,1,0.2074688796680498
AL,2009,O720,hemorrhage,3,0.6224066390041494
AL,2009,O721,hemorrhage,5,1.037344398340249
AL,2009,O722,hemorrhage,53,10.995850622406639
AL,2009,O140,hypertension,99,9.04109589041096
AL,2009,O141,hypertension,444,40.54794520547945
AL,2009,O149,hypertension,470,42.922374429223744
AL,2009,O150,hypertension,66,6.027397260273973
AL,2009,O151,hypertension,9,0.821917808219178
AL,2009,O152,hypertension,7,0.639269406392694
AL,2010,O030,W,17,0.9781357882623706
AL,2010,O031,W,146,8.400460299194476
AL,2010,O035,W,2,0.11507479861910241
AL,2010,O036,W,1,0.05753739930955121
AL,2010,O041,W,1,0.05753739930955121
AL,2010,O050,W,2,0.11507479861910241
AL,2010,O051,W,9,0.5178365937859609
AL,2010,O060,W,3,0.17261219792865362
AL,2010,O061,W,46,2.6467203682393556
AL,2010,O065,W,1,0.05753739930955121
AL,2010,O080,W,1,0.05753739930955121
AL,2010,O081,W,5,0.28768699654775604
AL,2010,O083,W,1,0.05753739930955121
AL,2010,O11,W,18,1.0356731875719218
AL,2010,O140,W,81,4.660529344073648
AL,2010,O141,W,300,17.26121979286536
AL,2010,O149,W,557,32.04833141542002
AL,2010,O150,W,47,2.704257767548907
AL,2010,O151,W,7,0.40276179516685845
AL,2010,O152,W,10,0.5753739930955121
AL,2010,O159,W,3,0.17261219792865362
AL,2010,O411,W,18,1.0356731875719218
AL,2010,O441,W,68,3.9125431530494823
AL,2010,O450,W,28,1.6110471806674338
AL,2010,O458,W,10,0.5753739930955121
