municipality,name,income_pc,illiteracy_10plus,sewer_septic,uf,microregion,microregion_name,ibge_code,illiteracy_15plus,illiteracy_unknown_percent,census_year,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,care,hypertension_per_1000,hemorrhage_per_1000,W_per_1000,period
210005,Açailândia - MA,423.91,16.0,13.051229806432834,MA,21009,Imperatriz,2100055,17.685537749138735,0.0,2010,8099,0,26,58,18,104,any_uf,7.161377947894802,2.2224966045190766,12.841091492776886,2008-2012
210010,Afonso Cunha - MA,149.52,30.5,2.609363008442057,MA,21016,Coelho Neto,2100105,34.63520477352861,0.0,2010,397,1,8,3,3,6,any_uf,7.5566750629722925,7.5566750629722925,15.113350125944585,2008-2012
210015,Água Doce do Maranhão - MA,171.24,33.599999999999994,1.502932551319648,MA,21013,Baixo Parnaíba Maranhense,2100154,36.02997205994412,0.0,2010,541,0,412,9,6,16,any_uf,16.635859519408502,11.090573012939002,29.57486136783734,2008-2012
210020,Alcântara - MA,206.57,20.599999999999994,6.585446163977609,MA,21001,Litoral Ocidental Maranhense,2100204,22.436316133246244,0.0,2010,810,0,11,5,0,11,any_uf,6.172839506172839,0.0,13.580246913580247,2008-2012
210030,Aldeias Altas - MA,172.13,35.099999999999994,8.88351192533702,MA,21016,Coelho Neto,2100303,37.67624020887728,0.0,2010,2092,0,13,33,58,97,any_uf,15.774378585086042,27.724665391969406,46.367112810707454,2008-2012
210040,Altamira do Maranhão - MA,159.62,30.200000000000003,4.212523719165086,MA,21008,Pindaré,2100402,32.976125881714594,0.0,2010,164,0,0,2,0,2,any_uf,12.195121951219512,0.0,12.195121951219512,2008-2012
210043,Alto Alegre do Maranhão - MA,169.94,26.40000000000001,21.371174559753804,MA,21015,Codó,2100436,29.27699189940757,0.0,2010,1505,0,9,8,153,165,any_uf,5.3156146179401995,101.66112956810632,109.63455149501661,2008-2012
210047,Alto Alegre do Pindaré - MA,138.74,28.099999999999994,9.529702970297029,MA,21008,Pindaré,2100477,32.24994968806601,0.0,2010,2378,0,7,8,5,17,any_uf,3.36417157275021,2.1026072329688814,7.1488645920941964,2008-2012
210050,Alto Parnaíba - MA,549.49,19.3,2.465857359635812,MA,21020,Gerais de Balsas,2100501,21.18750875227559,0.0,2010,611,0,2,2,2,10,any_uf,3.2733224222585924,3.2733224222585924,16.366612111292962,2008-2012
210055,Amapá do Maranhão - MA,180.93,30.5,29.474384564204925,MA,21007,Gurupi,2100550,33.274912368552826,0.0,2010,377,0,0,7,1,8,any_uf,18.56763925729443,2.6525198938992043,21.220159151193634,2008-2012
210060,Amarante do Maranhão - MA,230.13,25.8,4.124715816823644,MA,21009,Imperatriz,2100600,28.435276177566926,0.0,2010,3530,0,5,34,8,43,any_uf,9.63172804532578,2.26628895184136,12.181303116147308,2008-2012
210070,Anajatuba - MA,204.0,24.599999999999994,11.047765793528503,MA,21005,Baixada Maranhense,2100709,27.309371850856568,0.0,2010,1191,1,0,3,27,33,any_uf,2.5188916876574305,22.670025188916878,27.707808564231737,2008-2012
210080,Anapurus - MA,183.85,28.0,4.930847865303668,MA,21014,Chapadinha,2100808,29.8988140572299,0.0,2010,1493,1,5,6,0,10,any_uf,4.018754186202277,0.0,6.697923643670462,2008-2012
210083,Apicum-Açu - MA,210.96,17.0,0.7964601769911505,MA,21001,Litoral Ocidental Maranhense,2100832,18.68601530662956,0.0,2010,490,0,0,13,0,20,any_uf,26.53061224489796,0.0,40.816326530612244,2008-2012
210087,Araguanã - MA,160.05,25.40000000000001,14.862204724409448,MA,21008,Pindaré,2100873,28.14773980154355,0.0,2010,229,0,3,1,0,5,any_uf,4.366812227074236,0.0,21.83406113537118,2008-2012
210090,Araioses - MA,169.2,30.700000000000003,15.383864988781582,MA,21013,Baixo Parnaíba Maranhense,2100907,33.69996519317786,0.0,2010,2904,1,1657,40,21,81,any_uf,13.774104683195592,7.231404958677686,27.892561983471076,2008-2012
210095,Arame - MA,204.74,30.200000000000003,13.436282291817,MA,21011,Alto Mearim e Grajaú,2100956,33.0365724113511,0.0,2010,2679,0,8,0,1,2,any_uf,0.0,0.3732736095558044,0.7465472191116088,2008-2012
210100,Arari - MA,286.29,20.40000000000001,50.194945848375454,MA,21005,Baixada Maranhense,2101004,22.01848613539845,0.0,2010,2010,0,1,5,0,15,any_uf,2.487562189054726,0.0,7.462686567164179,2008-2012
210110,Axixá - MA,217.02,14.700000000000005,33.51669941060904,MA,21003,Rosário,2101103,16.33491716964171,0.0,2010,509,0,0,3,2,5,any_uf,5.893909626719057,3.9292730844793713,9.82318271119843,2008-2012
210120,Bacabal - MA,372.72,19.599999999999994,31.113312504762632,MA,21010,Médio Mearim,2101202,21.401993921663305,0.0,2010,9198,1,22,148,54,292,any_uf,16.090454446618832,5.870841487279844,31.746031746031747,2008-2012
210125,Bacabeira - MA,249.83,16.599999999999994,31.227782335247472,MA,21003,Rosário,2101251,18.303042275780324,0.0,2010,545,0,0,4,9,15,any_uf,7.339449541284404,16.513761467889907,27.522935779816514,2008-2012
