municipality,admissions_reference,hypertension_reference,hemorrhage_reference,W_reference,admissions_extension,hypertension_extension,hemorrhage_extension,W_extension,admissions_difference,hypertension_difference,hemorrhage_difference,W_difference
240010,825,5,144,149,825,5,144,149,0,0,0,0
240020,4361,42,16,86,4361,42,16,86,0,0,0,0
240030,682,11,2,17,682,11,2,17,0,0,0,0
240040,245,5,1,6,245,5,1,6,0,0,0,0
240050,940,12,3,17,940,12,3,17,0,0,0,0
240060,402,1,0,2,402,1,0,2,0,0,0,0
240070,711,20,0,24,711,20,0,24,0,0,0,0
240080,910,14,6,34,910,14,6,34,0,0,0,0
240090,411,3,0,8,411,3,0,8,0,0,0,0
240100,2570,31,2,70,2570,31,2,70,0,0,0,0
240110,1765,21,2,29,1765,21,2,29,0,0,0,0
240120,805,42,6,52,805,42,6,52,0,0,0,0
240130,570,4,4,17,570,4,4,17,0,0,0,0
240140,592,22,28,52,592,22,28,52,0,0,0,0
240145,2195,23,7,34,2195,23,7,34,0,0,0,0
240150,198,5,0,6,198,5,0,6,0,0,0,0
240160,313,15,1,17,313,15,1,17,0,0,0,0
240165,208,7,1,8,208,7,1,8,0,0,0,0
240170,659,29,0,29,659,29,0,29,0,0,0,0
240180,893,34,3,38,893,34,3,38,0,0,0,0
240185,402,16,1,17,402,16,1,17,0,0,0,0
240190,250,12,1,14,250,12,1,14,0,0,0,0
240200,4161,39,7,52,4161,39,7,52,0,0,0,0
240210,632,12,1,16,632,12,1,16,0,0,0,0
240220,2817,89,20,124,2817,89,20,124,0,0,0,0
240230,1473,9,1,37,1473,9,1,37,0,0,0,0
240240,393,9,14,23,393,9,14,23,0,0,0,0
240250,665,6,2,9,665,6,2,9,0,0,0,0
240260,5478,270,43,343,5478,270,43,343,0,0,0,0
240270,849,27,2,33,849,27,2,33,0,0,0,0
240280,345,4,0,5,345,4,0,5,0,0,0,0
240290,267,9,1,11,267,9,1,11,0,0,0,0
240300,470,9,18,28,470,9,18,28,0,0,0,0
240310,2656,128,2,135,2656,128,2,135,0,0,0,0
240320,501,14,0,15,501,14,0,15,0,0,0,0
240325,13314,92,5,201,13314,92,5,201,0,0,0,0
240330,382,15,2,17,382,15,2,17,0,0,0,0
240340,348,13,1,15,348,13,1,15,0,0,0,0
240350,738,14,4,22,738,14,4,22,0,0,0,0
240360,1949,137,6,159,1949,137,6,159,0,0,0,0
240370,325,1,0,3,325,1,0,3,0,0,0,0
240375,240,10,0,13,240,10,0,13,0,0,0,0
240380,669,20,2,28,669,20,2,28,0,0,0,0
240390,197,3,1,6,197,3,1,6,0,0,0,0
240400,324,7,2,10,324,7,2,10,0,0,0,0
240410,132,5,1,6,132,5,1,6,0,0,0,0
240420,2137,69,11,89,2137,69,11,89,0,0,0,0
240430,935,13,4,20,935,13,4,20,0,0,0,0
240440,589,10,5,16,589,10,5,16,0,0,0,0
240450,989,41,7,52,989,41,7,52,0,0,0,0
240460,573,34,6,41,573,34,6,41,0,0,0,0
240470,1234,21,5,32,1234,21,5,32,0,0,0,0
240480,96,1,1,2,96,1,1,2,0,0,0,0
240485,644,5,1,6,644,5,1,6,0,0,0,0
240490,332,7,1,10,332,7,1,10,0,0,0,0
240500,498,10,1,11,498,10,1,11,0,0,0,0
240510,423,15,6,22,423,15,6,22,0,0,0,0
240520,417,9,4,16,417,9,4,16,0,0,0,0
240530,565,29,3,36,565,29,3,36,0,0,0,0
240540,524,6,2,10,524,6,2,10,0,0,0,0
240550,150,7,3,10,150,7,3,10,0,0,0,0
240560,857,11,4,17,857,11,4,17,0,0,0,0
240570,426,4,8,12,426,4,8,12,0,0,0,0
240580,2469,74,9,89,2469,74,9,89,0,0,0,0
240590,185,2,0,2,185,2,0,2,0,0,0,0
240600,310,7,0,8,310,7,0,8,0,0,0,0
240610,1213,41,22,74,1213,41,22,74,0,0,0,0
240615,242,3,1,4,242,3,1,4,0,0,0,0
240620,445,12,14,28,445,12,14,28,0,0,0,0
240630,497,10,2,12,497,10,2,12,0,0,0,0
240640,212,7,0,7,212,7,0,7,0,0,0,0
240650,1259,55,5,61,1259,55,5,61,0,0,0,0
240660,746,33,3,38,746,33,3,38,0,0,0,0
240670,621,23,1,26,621,23,1,26,0,0,0,0
240680,410,4,2,8,410,4,2,8,0,0,0,0
240690,234,3,0,4,234,3,0,4,0,0,0,0
240700,649,11,3,16,649,11,3,16,0,0,0,0
240710,4731,219,13,273,4731,219,13,273,0,0,0,0
240720,2589,42,8,81,2589,42,8,81,0,0,0,0
240725,272,8,0,9,272,8,0,9,0,0,0,0
240730,587,14,1,15,587,14,1,15,0,0,0,0
240740,461,9,2,15,461,9,2,15,0,0,0,0
240750,772,50,4,60,772,50,4,60,0,0,0,0
240760,229,4,0,4,229,4,0,4,0,0,0,0
240770,817,42,31,79,817,42,31,79,0,0,0,0
240780,1417,37,20,60,1417,37,20,60,0,0,0,0
240790,199,4,2,7,199,4,2,7,0,0,0,0
240800,17718,199,86,315,17718,199,86,315,0,0,0,0
240810,48307,3238,191,3787,48307,3238,191,3787,0,0,0,0
240820,1688,44,4,55,1688,44,4,55,0,0,0,0
240830,2932,67,464,544,2932,67,464,544,0,0,0,0
240840,219,1,1,3,219,1,1,3,0,0,0,0
240850,226,4,0,4,226,4,0,4,0,0,0,0
240860,264,2,1,3,264,2,1,3,0,0,0,0
240870,171,2,1,3,171,2,1,3,0,0,0,0
240880,337,16,0,19,337,16,0,19,0,0,0,0
240890,1848,91,7,102,1848,91,7,102,0,0,0,0
240895,797,49,3,55,797,49,3,55,0,0,0,0
240910,766,23,5,29,766,23,5,29,0,0,0,0
240920,201,5,5,11,201,5,5,11,0,0,0,0
240930,804,11,1,14,804,11,1,14,0,0,0,0
240933,295,16,0,17,295,16,0,17,0,0,0,0
240940,2204,63,5,76,2204,63,5,76,0,0,0,0
240950,240,14,1,18,240,14,1,18,0,0,0,0
240960,163,5,1,6,163,5,1,6,0,0,0,0
240970,353,18,1,19,353,18,1,19,0,0,0,0
240980,1076,37,9,51,1076,37,9,51,0,0,0,0
240990,865,20,2,27,865,20,2,27,0,0,0,0
241000,215,2,1,3,215,2,1,3,0,0,0,0
241010,774,34,1,41,774,34,1,41,0,0,0,0
241020,506,17,0,17,506,17,0,17,0,0,0,0
241025,357,2,0,2,357,2,0,2,0,0,0,0
241030,781,20,5,30,781,20,5,30,0,0,0,0
241040,550,25,5,30,550,25,5,30,0,0,0,0
241050,365,9,1,11,365,9,1,11,0,0,0,0
241060,229,2,1,4,229,2,1,4,0,0,0,0
241070,254,7,0,8,254,7,0,8,0,0,0,0
241080,310,4,2,6,310,4,2,6,0,0,0,0
241090,531,24,5,33,531,24,5,33,0,0,0,0
241100,316,8,0,8,316,8,0,8,0,0,0,0
241105,349,4,0,6,349,4,0,6,0,0,0,0
241110,190,10,1,13,190,10,1,13,0,0,0,0
241120,3392,59,11,96,3392,59,11,96,0,0,0,0
241140,772,24,10,34,772,24,10,34,0,0,0,0
241142,152,1,3,4,152,1,3,4,0,0,0,0
241150,2067,58,13,86,2067,58,13,86,0,0,0,0
241160,206,16,1,17,206,16,1,17,0,0,0,0
241170,376,4,1,7,376,4,1,7,0,0,0,0
241180,224,0,0,0,224,0,0,0,0,0,0,0
241190,246,3,0,3,246,3,0,3,0,0,0,0
241200,8655,299,28,419,8655,299,28,419,0,0,0,0
241210,352,2,0,2,352,2,0,2,0,0,0,0
241220,3411,84,10,103,3411,84,10,103,0,0,0,0
241230,922,27,7,37,922,27,7,37,0,0,0,0
241240,187,3,6,10,187,3,6,10,0,0,0,0
241250,1671,16,4,20,1671,16,4,20,0,0,0,0
241255,535,31,2,38,535,31,2,38,0,0,0,0
241260,1228,32,7,48,1228,32,7,48,0,0,0,0
241270,473,21,2,24,473,21,2,24,0,0,0,0
241280,392,4,0,4,392,4,0,4,0,0,0,0
241290,661,33,0,36,661,33,0,36,0,0,0,0
241300,301,7,0,7,301,7,0,7,0,0,0,0
241310,383,17,3,21,383,17,3,21,0,0,0,0
241320,341,12,0,14,341,12,0,14,0,0,0,0
241330,404,4,2,6,404,4,2,6,0,0,0,0
241335,1058,11,2,13,1058,11,2,13,0,0,0,0
241340,459,3,0,3,459,3,0,3,0,0,0,0
241350,560,10,2,15,560,10,2,15,0,0,0,0
241355,240,8,0,8,240,8,0,8,0,0,0,0
241360,474,4,1,8,474,4,1,8,0,0,0,0
241370,429,9,0,10,429,9,0,10,0,0,0,0
241380,181,8,0,8,181,8,0,8,0,0,0,0
241390,615,47,3,53,615,47,3,53,0,0,0,0
241400,1181,24,0,31,1181,24,0,31,0,0,0,0
241410,692,7,2,9,692,7,2,9,0,0,0,0
241415,516,14,0,15,516,14,0,15,0,0,0,0
241420,854,43,0,45,854,43,0,45,0,0,0,0
241430,123,0,0,0,123,0,0,0,0,0,0,0
241440,2333,123,12,163,2333,123,12,163,0,0,0,0
241445,269,8,1,9,269,8,1,9,0,0,0,0
241450,751,9,2,14,751,9,2,14,0,0,0,0
241460,1022,13,4,20,1022,13,4,20,0,0,0,0
241470,381,7,2,13,381,7,2,13,0,0,0,0
241475,266,5,0,5,266,5,0,5,0,0,0,0
241480,811,23,6,31,811,23,6,31,0,0,0,0
241490,133,7,1,8,133,7,1,8,0,0,0,0
241500,210,12,0,15,210,12,0,15,0,0,0,0
