care,minimum_admissions,indicator,outcome,n,status,pearson_r,spearman_rho
any_uf,1,income_pc,hypertension,1794,ok,0.09777297643631835,0.0901636581445636
any_uf,1,income_pc,hemorrhage,1794,ok,0.0799815001225937,0.06006367779134598
any_uf,1,income_pc,W,1794,ok,0.11986668616430467,0.09183603546900039
any_uf,1,illiteracy_10plus,hypertension,1794,ok,-0.04626411521168533,-0.0443099475494305
any_uf,1,illiteracy_10plus,hemorrhage,1794,ok,-0.07543114123402238,-0.06807564034002839
any_uf,1,illiteracy_10plus,W,1794,ok,-0.09760354764750766,-0.10016721350288688
any_uf,1,sewer_septic,hypertension,1794,ok,0.10534170708223708,0.10554689082181347
any_uf,1,sewer_septic,hemorrhage,1794,ok,0.05595408874181948,0.05618172550780591
any_uf,1,sewer_septic,W,1794,ok,0.09791767594030831,0.10258152910575966
any_uf,1000,income_pc,hypertension,842,ok,0.19343486497273624,0.13513294819585417
any_uf,1000,income_pc,hemorrhage,842,ok,0.0861547210078719,0.07317868906070621
any_uf,1000,income_pc,W,842,ok,0.17086769706812444,0.1357250906965183
any_uf,1000,illiteracy_10plus,hypertension,842,ok,-0.17088297378174425,-0.1428480609116047
any_uf,1000,illiteracy_10plus,hemorrhage,842,ok,-0.055991315676005286,-0.057309029129757695
any_uf,1000,illiteracy_10plus,W,842,ok,-0.13967654545094482,-0.15881863307558372
any_uf,1000,sewer_septic,hypertension,842,ok,0.15150176591433817,0.11618255597341354
any_uf,1000,sewer_septic,hemorrhage,842,ok,0.06730824959842904,0.043563078462464926
any_uf,1000,sewer_septic,W,842,ok,0.13618596569720193,0.12677835305959553
same_uf,1,income_pc,hypertension,1794,ok,0.09450715025005811,0.08544582739485286
same_uf,1,income_pc,hemorrhage,1794,ok,0.07882298268308473,0.06662582979761916
same_uf,1,income_pc,W,1794,ok,0.11747742186483351,0.09400895476309414
same_uf,1,illiteracy_10plus,hypertension,1794,ok,-0.05108710824926084,-0.05426387783951033
same_uf,1,illiteracy_10plus,hemorrhage,1794,ok,-0.07782029320874857,-0.07787969428616025
same_uf,1,illiteracy_10plus,W,1794,ok,-0.10177779291048558,-0.10670447844606518
same_uf,1,sewer_septic,hypertension,1794,ok,0.10335828303870956,0.10372909738435311
same_uf,1,sewer_septic,hemorrhage,1794,ok,0.054316813611373756,0.04747875952992449
same_uf,1,sewer_septic,W,1794,ok,0.09555769622135951,0.09407674140971417
same_uf,1000,income_pc,hypertension,828,ok,0.1954061370858803,0.1336485641863785
same_uf,1000,income_pc,hemorrhage,828,ok,0.09434622422789515,0.0871387989250331
same_uf,1000,income_pc,W,828,ok,0.17817644188207177,0.14140041239100934
same_uf,1000,illiteracy_10plus,hypertension,828,ok,-0.17718112068261874,-0.1484193494285044
same_uf,1000,illiteracy_10plus,hemorrhage,828,ok,-0.056850492730520806,-0.058623875709048506
same_uf,1000,illiteracy_10plus,W,828,ok,-0.1423891747479485,-0.15314808927827073
same_uf,1000,sewer_septic,hypertension,828,ok,0.15181982751592046,0.11539197532112005
same_uf,1000,sewer_septic,hemorrhage,828,ok,0.06043930393932052,0.0304169230629412
same_uf,1000,sewer_septic,W,828,ok,0.12964056366823257,0.11009466305961635
